"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.52008467206326,1.0267665149254,3.14892280268863,1.39229599010878,0.599440354933888,0.781578802576883,-0.524440762474406,1.71040693526097,1.75546915675582,4.39280138871365,2.38584523710402,0.797856031687182,0.824574570045154,-0.875593630464336,-0.34928762673961,-0.298292820993995,2.13899323158895,0.153803321318374,0.629270997197127,0.561469766687619,2.34222903758974,4.22068798948758,1.31040438256705,1.18844763074896,1.24491264149061,0.556013826381648,1.41812510692641,1.19095060641515,2.26890604264421,0.894755781001812,0.382406918974418,0.976090650841489,-0.70624529592659,0.132674931994006,0.177360476887995
"IS-NLE",1.0267665149254,1.87117132489323,3.32792755918527,2.00018060342405,0.928025795192458,1.0656211424544,-1.08467457562449,1.52290020799163,1.40336315821559,5.63643326192788,2.72396449853101,1.2248896060624,1.18206668463898,-0.515920206977042,0.315010104672272,0.0768532197962562,2.42476088674849,0.0099602777396503,0.328290446583454,0.996732785145727,2.74544035916911,4.10995031164508,1.45869127280375,1.49964455661974,1.09543461571272,0.61122622697346,1.84903402755782,1.72499180989937,2.70558456510394,1.12996911468233,-0.803404950348882,1.61580841583035,-0.155876472959962,0.700790509982888,0.451402824828192
"IS-PNS",3.14892280268863,3.32792755918527,12.2864379579063,5.78672192992151,3.9398313894679,4.94199373782603,-0.255569834247655,6.01728821204862,5.87348308178455,13.9119187966323,8.20613327026298,2.70981911234484,3.38213812997073,-1.03446633632238,0.660750188180451,0.109974959956465,7.16953056461034,0.239414167293641,1.49627065613696,3.37996378597997,7.56831753856449,12.1816706061099,4.68380860118498,3.65329937123861,2.67450482001093,1.9535997839864,5.78090779042425,3.6550198301329,7.66348040983575,3.73045701127548,-0.706593723966991,4.87155012772271,-0.580518684697746,1.28309984753342,0.551805844786004
"PM-ZS",1.39229599010878,2.00018060342405,5.78672192992151,3.74504006988487,2.18466094698482,2.71064565158757,-0.353390221399512,3.34075376158149,2.92383967960293,8.79576305423761,4.42572568210426,1.68908027188173,1.85274398602523,-0.35985996549656,0.967823573118427,0.355618750380023,3.9004572953366,0.177380708841144,0.787886431674025,2.04231319639053,4.17762022654182,6.47411850942219,1.91012639677144,2.36794212370229,1.96744309275107,1.07562864079515,3.40971475891536,2.23604230759491,4.22599252617224,1.78656303782356,-0.850940173190852,2.62915551994778,0.147482359261309,1.00235646775488,0.124185248323927
"PM-ZI",0.599440354933888,0.928025795192458,3.9398313894679,2.18466094698482,3.1222204956513,2.57082094882637,0.51418064233844,2.20074498174385,3.24502013878717,3.7228213036615,2.46709198835306,0.274634416690489,1.27131850772246,0.321687675735776,0.562654373506307,0.174572233875639,2.38068690880129,0.119898475087217,1.23357333754979,1.5877942707982,1.01304248529111,2.74831897128326,0.964060393358879,1.24053360918197,0.585625773341818,0.482170647649894,1.84401229988787,0.801090678510744,2.40147120376563,0.969162737527157,1.21345519040214,1.19513325314187,-0.210111331637563,0.889184910768527,0.187655838942496
"PM-MT",0.781578802576883,1.0656211424544,4.94199373782603,2.71064565158757,2.57082094882637,3.50512161642951,1.15141703482672,2.68197725783719,2.88962621819841,5.01644958577165,2.87518148938542,0.55900158324063,1.07953469740669,0.312755455974457,1.40216292965742,0.632871672726605,2.58560056217698,0.301129472428519,0.905980298435119,1.65515645876549,2.45852350807372,3.7539086619955,0.807850598043103,1.56118105670718,1.2742699443031,0.634089677967369,2.57643872150634,0.872871674425494,2.62898163675628,1.25149046792108,-0.292050873830396,1.8187101365229,0.70093079114876,0.955871163392763,-0.0059655143429388
"NLE-NON",-0.524440762474406,-1.08467457562449,-0.255569834247655,-0.353390221399512,0.51418064233844,1.15141703482672,9.12228748284269,0.661810235487418,0.425301417779961,-12.5135066320311,-3.92145374943566,-2.21760503711544,-0.939950789517832,2.07941448911814,1.92093269842709,1.86692508918057,-1.88336272370096,0.286557841887492,-0.416356199139426,-1.24465381920357,-1.20951317426587,-3.96205348836541,-0.67232228628242,-0.756506826540602,-0.482196417792047,-0.0511956253899041,-0.390954994469982,-1.91371488926762,-2.41903803182238,-0.488264285115655,3.0266163548387,-1.05393216732844,3.27397646148605,0.0265317149545283,-0.614817982320466
"NLE-ZS",1.71040693526097,1.52290020799163,6.01728821204862,3.34075376158149,2.20074498174385,2.68197725783719,0.661810235487418,3.88013334189405,3.66424994361235,7.22339188543628,4.32350942636535,1.23424172827439,1.721789740187,-0.512145725503208,0.33351333373687,0.362912362026535,3.96660606178023,0.358591349787675,0.899061787661936,2.02222008734767,3.74938413568885,6.66444918160557,1.96077377974982,2.08694170424176,1.76556816157667,0.988251640496961,3.12460510475344,1.98566400650362,4.21256307044415,1.55068771453254,0.40248084793282,1.8169855686922,-0.298261603328665,0.599648584789061,0.0015101797292411
"NLE-ZI",1.75546915675582,1.40336315821559,5.87348308178455,2.92383967960293,3.24502013878717,2.88962621819841,0.425301417779961,3.66424994361235,4.74163686531032,6.34805864441883,4.21093055913339,0.700953804256023,1.69045247247526,-0.521084889780438,-0.142647134933491,-0.00419066827945079,3.89948726463084,0.383083036817274,1.73999990640684,2.03877627960967,2.51878076555997,5.88778225878475,1.76254572075744,1.79804146216997,1.45580639062262,0.829574768237936,2.6637545411239,1.46345235727113,3.93068498272038,1.45045381415016,1.86186947026007,1.29534406658377,-1.01256254477911,0.686152773554127,0.192573274474451
"NON-BR",4.39280138871365,5.63643326192788,13.9119187966323,8.79576305423761,3.7228213036615,5.01644958577165,-12.5135066320311,7.22339188543628,6.34805864441883,42.1867959152349,16.1411313326403,7.72954512786224,4.60596071240226,-5.39868915648263,-1.45987923113611,-2.27146653133763,11.6805715426274,-0.26661988991753,2.34483371301244,6.56230751285483,12.6021806721286,21.8721012952763,4.82849585151402,6.53949454748235,5.5865716952894,2.59569238047379,8.22286452320283,7.72183619016647,13.3279868209943,4.43989668690469,-7.13578915039936,7.28339721143564,-4.14247842736447,2.26355400482463,0.765466834944723
