"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",4.58177324264482,8.89547775562068,14.5902694064026,6.62621045341762,6.24554051718601,7.36666192711555,5.22791757849144,5.02358073533912,10.2430258976308,10.9724794374488,11.8007204160411,5.10069899040875,4.87543497385674,1.56686673314364,4.85429147839512,0.855716061267402,6.90465461119308,-0.938412953837982,5.76396394110211,4.43596589462123,8.17176499934551,10.8667548209791,2.98031911280613,6.26332434881378,2.52066514611047,1.90949368729684,6.62019079370799,6.29762209295606,8.74368166077373,2.10304388345992,1.58372499973442,5.56933170172236,2.66680712133986,4.7317446548505,1.86045759961017
"IS-NLE",8.89547775562068,26.9747417902558,38.0649139233072,20.4749941036663,21.6468817811163,22.1128710318165,13.302671671408,12.9532629999367,30.2582517471552,38.1648099806361,32.2646237283781,16.3240132104642,15.3365615583401,3.99882232548518,13.5523694722393,4.03436855924453,23.0558178180774,-1.25452317982179,18.0979296319552,13.5598641331246,29.1250893256179,35.2084112832306,9.00543098266579,21.2657662371751,9.23404114593668,3.57448879764726,23.4048196272641,17.455740120415,27.7616062007022,9.86471110087973,-2.8704610342731,20.1102542730331,10.0673306798259,17.442526214495,5.37476379901964
"IS-PNS",14.5902694064026,38.0649139233072,78.2313517293934,36.3641820881292,39.8407814467222,44.8435470297185,27.2341054632623,24.1867173747601,52.4757784098966,67.1070531797522,62.8998845068426,25.4956773261697,24.3212630304102,9.65179952015095,30.6333896267803,10.5335059322791,39.3286542126901,-4.20900281757715,32.0712453053358,25.3304374467351,49.6802468735681,62.3564760729168,16.4934073378155,30.3106934102784,21.120049701812,3.71092162735695,38.8753379816261,38.2575729790518,49.1506808050544,20.756689330572,-0.514546104936834,34.6928393079304,19.7064553370564,22.9407809464318,9.92120772967906
"PM-ZS",6.62621045341762,20.4749941036663,36.3641820881292,20.8972147740529,22.2988736784806,21.3077501919518,13.0776999225099,12.2545374879601,27.9755850823502,40.1264076770515,31.4159323153325,15.2342954396733,15.6020801268593,5.5965547996133,16.0988485890345,6.84019010620683,22.057411486267,-0.646147374643072,17.7286748907098,13.1341318814628,26.4220750529628,32.5948222586226,9.02305409302029,17.8906178031074,11.7018738655089,1.23157416348873,22.3968604597809,17.3348960074582,26.0048997188775,12.0236165035187,-4.08300259925867,19.7652192158998,11.3065431089849,14.7557471838915,4.93309033200014
"PM-ZI",6.24554051718601,21.6468817811163,39.8407814467222,22.2988736784806,26.7699740530999,24.9701973222823,13.8288461186147,13.2741696069803,32.3368761592373,44.2545875968611,33.338548717135,16.8813886713276,18.3472640655057,6.40278636979907,17.7386103875145,8.99243597931248,25.8585379792915,-0.198137104919802,20.8597099519623,15.4290373379151,31.5237292189592,37.8279767003388,10.3399659764814,22.5214180731065,13.3877153558354,0.929958627784953,25.7666470276969,20.2874068027451,30.1748397480407,15.1543557940658,-1.03147318868767,21.2266158353414,13.6632971813244,14.2579411318626,5.55579768022422
"PM-MT",7.36666192711555,22.1128710318165,44.8435470297185,21.3077501919518,24.9701973222823,28.1922889667333,14.6569943945597,13.6041619548526,30.6773036964624,40.8343596221291,36.0270975982546,14.532659511804,14.4860582215912,6.44894848756876,19.1493819645652,8.00102596889797,24.6704460618734,-1.75622002269599,18.9641027656818,15.6695579662301,31.5674904147832,37.9532713644969,10.005233401199,20.9229686643279,13.2452136140792,1.72519407537208,24.5528344608981,22.9137401080528,29.8831718914456,14.7206016894617,-1.06288885200547,21.542574094489,13.653903044019,12.8594856322823,6.02837650205639
"NLE-NON",5.22791757849144,13.302671671408,27.2341054632623,13.0776999225099,13.8288461186147,14.6569943945597,11.2827625978843,8.04120512817589,19.1487397654111,23.0797609314974,22.2329566377712,9.24970174547119,8.60864294843984,3.0731444225073,9.19526161690982,1.4896098647474,12.3746373532535,-1.66497158856654,12.6813688576374,8.14355930642866,16.7063657082848,22.3995393371077,5.87643635525059,10.3201645269386,6.59706649491481,1.84471439338718,13.3029530335394,11.9408464180582,16.4912681121838,6.63953005930183,-2.21847688042426,11.5703600257542,4.29154887166085,7.73283735139541,3.23322034080996
"NLE-ZS",5.02358073533912,12.9532629999367,24.1867173747601,12.2545374879601,13.2741696069803,13.6041619548526,8.04120512817589,13.3791481483341,19.7145831132055,24.1471530523438,19.8862048021823,9.89140780109926,10.0335258669524,4.83925919098027,10.9735463007219,5.76652479764931,15.0869988464425,-1.16160058718786,7.58533307756343,8.07550036341562,17.8320526164029,19.3172822098526,5.68863138964681,12.5930620024313,5.18367064911435,1.46728588782878,12.6893635294695,10.738974769557,16.453380440568,8.61284183467439,3.82427119576612,9.80652964545505,7.45349166942775,5.70091177955223,4.06947186229773
"NLE-ZI",10.2430258976308,30.2582517471552,52.4757784098966,27.9755850823502,32.3368761592373,30.6773036964624,19.1487397654111,19.7145831132055,45.971097466851,58.4499379124071,45.9163251200178,24.9989072663669,23.4490141865446,8.25936761107844,21.3563846196988,8.90898196861122,34.4641211698841,-1.82206433051264,28.7088620429528,20.685453737708,40.1016247236142,49.1789253042121,13.8903879040897,29.8143150324905,14.0636413368526,3.41023602427044,33.2140985346014,25.7369827351269,41.0912109357927,15.9417634594764,-1.84432157430273,24.8905275528143,15.830170593701,19.5306648391024,7.46367421335122
"NON-BR",10.9724794374488,38.1648099806361,67.1070531797522,40.1264076770515,44.2545875968611,40.8343596221291,23.0797609314974,24.1471530523438,58.4499379124071,123.553205461053,65.4842650808986,40.4889438222907,23.8551779859036,16.4909495856121,36.6771465659374,19.743986082278,57.5192434814629,-4.46432280768795,38.0486425172965,33.370291114758,64.5249019968486,70.1104555126034,21.1965879305023,54.1698239666564,16.9964313920604,1.37336857280087,52.9109316264625,39.7731098610262,64.0821613166663,26.2172322326169,-30.1422525862006,42.2076220493647,32.657301055645,31.1906951688923,8.72901293470535
