"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.55203745967019,0.364857411544372,1.31244247613322,0.832903122310666,0.925560302541421,0.722795670858565,1.04155533920403,1.08919456808115,1.30182249206615,1.01016887348976,0.433212433992593,0.364190163496451,0.242565622122684,0.0831660444998068,0.417707716763753,0.0513095013931709,0.138931881656647,0.165699931611404,0.375193225359622,0.19892187177479,0.295724861501137,0.400091988725266,0.109143058386345,0.584036533390965,0.326580867986676,0.134640545900314,0.411824781450055,0.15970402173844,0.157966271227966,0.517713336734659,-0.131424848046279,0.493296628814048,0.43604229481254,0.0242618677368905,0.206179307621126
"IS-NLE",0.364857411544372,1.09056196457304,2.00668800789253,1.67533493937627,1.73552979983561,1.48390568092908,1.24992882982972,1.02852014035687,1.40751673229719,1.11706379281947,0.528018251904907,0.519150794022758,0.478230144767526,0.254152064930509,0.631441331534116,0.300925770335674,0.314219478511281,0.251091445392659,0.585513196110935,0.178708814051887,0.794373373180053,0.814543811670762,0.19409816780678,0.826259423688498,0.484220664721088,0.284670620452782,0.60816662543307,0.380935797379883,0.236832541105912,1.04897268108472,-0.215769580265004,0.819650008400461,0.712037880976679,0.133186314895108,0.265598862169691
"IS-PNS",1.31244247613322,2.00668800789253,7.06303146417457,4.80082999733493,5.42930475088666,4.735093170507,4.90968147453449,4.41480138474401,5.39402269527404,3.73437191146422,1.68022558416894,1.65016617268469,1.09745088963887,0.292460188676092,1.50493088660273,0.39744269117903,0.832242954874575,0.129832292396953,1.38025870103787,0.489394494852922,2.34664653640286,1.74679454303038,0.541216344474489,1.80782216067035,1.53094082290042,0.839985152141544,1.60836878688398,1.12988434153488,0.789260502055741,2.08591031761094,-0.451058403037213,2.02107014786747,1.9393622922684,0.587475079770211,0.626946963054859
"PM-ZS",0.832903122310666,1.67533493937627,4.80082999733493,4.43503257036559,4.4598408252496,3.56678253148524,3.47807220281189,3.57562126312445,4.13956523706012,3.10638828805224,1.2951525328962,1.12947136130442,0.814203420867765,0.249819957323463,1.23131978984014,0.551500421197032,0.678314096376529,0.301849391761261,1.28658459495942,0.346642924026795,1.82342649064136,1.67629768109605,0.434484563263944,1.98100785825351,1.35931593272103,0.738999738886229,1.13840139980261,0.831223012580587,0.637904011836769,1.90116379536519,-0.496155228763782,1.80970692003973,1.64030476839452,0.51407994753502,0.571867871664061
"PM-ZI",0.925560302541421,1.73552979983561,5.42930475088666,4.4598408252496,5.69181589853607,4.2014432597193,3.89083315142563,3.86488199655014,5.40046635805661,3.60040860659176,1.22611117644312,1.35006314976094,0.86209559250949,0.162176572111468,1.26011097064287,0.396472964851496,0.702184679902422,0.0213091928813673,1.70417290272559,0.551909646139106,1.53439322859957,1.29814910442069,0.461814988403572,2.32186151841862,1.589131192185,0.675605433631969,1.27424285316394,0.895647594360587,0.769513597826647,1.97122323301525,-0.431970461537928,1.75788578035204,1.49831537355614,0.423143764967657,0.497712490867172
"PM-MT",0.722795670858565,1.48390568092908,4.735093170507,3.56678253148524,4.2014432597193,3.96789766787342,3.25644321845648,2.99641262804413,3.85799384890311,2.83381663902539,1.02293216713905,1.04843430380537,0.541550991468589,0.0977591082624359,1.02396883986499,0.364889792553881,0.578911757774427,0.230480385501903,1.05916871467302,0.333553130024445,1.76199459078261,1.46312964751627,0.446934575334385,1.72892385893687,1.14754605594619,0.581293346100422,1.10639781081956,0.897866109072523,0.499832912282684,1.75858568365853,-0.570406540962667,1.56785534425568,1.2603181749039,0.323610109731339,0.350894479207926
"NLE-NON",1.04155533920403,1.24992882982972,4.90968147453449,3.47807220281189,3.89083315142563,3.25644321845648,5.11407608096469,3.64834155778383,4.16647630163103,1.22639748819525,0.961925592859341,0.800158273039999,0.522684288341557,0.215659831466906,1.24037931155025,0.347170665141064,0.617915160451858,0.186611202196678,0.876535358251921,0.249747949454281,1.61395684160679,1.36318307457412,0.478174225683044,1.30870435730789,1.28313665544171,0.490339532660505,1.13282165302293,0.686917285087738,0.610195610059167,1.71589029824075,-0.00288788765490212,1.91009776819163,1.45176462657592,0.52870477547202,0.424704885313749
"NLE-ZS",1.08919456808115,1.02852014035687,4.41480138474401,3.57562126312445,3.86488199655014,2.99641262804413,3.64834155778383,3.91961278485554,4.43768665073247,2.82306813975416,1.17853332631517,0.989433932812411,0.649149187774179,0.0916294077755264,1.03068731712867,0.223703839007264,0.499550995600906,0.291764256807136,1.06884102918813,0.386646407777458,1.36724353082357,1.26835748301634,0.374580992761674,1.833219919075,1.1808050651262,0.600995342232026,1.03012881122892,0.641745839911555,0.484346847356537,1.3463202887474,-0.486255286540538,1.53416045626229,1.2232965681597,0.344812638199429,0.418386499284851
"NLE-ZI",1.30182249206615,1.40751673229719,5.39402269527404,4.13956523706012,5.40046635805661,3.85799384890311,4.16647630163103,4.43768665073247,6.00774288693179,3.62701674251132,1.40793769324931,1.30381647915457,0.838931774255711,0.10535061291371,1.23236565252356,0.167436252513369,0.655653653964648,0.146130603669828,1.82434365401612,0.65856454206995,1.30174614869811,1.24966887532274,0.470143339381143,2.39951791221289,1.55388794444705,0.61947445373196,1.34496085349401,0.766698451823924,0.704182990049112,1.79022155070243,-0.490334483891531,1.88709392473734,1.29150019590836,0.345326088621332,0.458589508725096
"NON-BR",1.01016887348976,1.11706379281947,3.73437191146422,3.10638828805224,3.60040860659176,2.83381663902539,1.22639748819525,2.82306813975416,3.62701674251132,8.29437058462212,1.37791801744166,2.36658089870418,1.15572357800294,0.169511640959233,1.38160195818804,0.326887323881649,0.00859528590005685,0.121178316852416,1.24900888584798,0.530987889399493,1.28923474800135,1.40456065720994,0.32193990844316,2.45936907997037,1.48201023202464,0.914662004355776,1.24506145059777,1.49190422600268,0.0721855856207341,1.52742289017203,-2.74159112278052,1.583300505925,1.61372284789932,0.316227896271444,0.685991465400585
