"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.31742611168613,0.157355875643909,0.673900450147764,0.254697316648199,0.200903799020083,0.270197561234946,0.32234530343388,0.390744229106153,0.40769186447525,0.283738493466985,0.262903980065822,0.0702910172631949,0.0769587139997407,0.0575598876959219,0.206292463682878,0.0597339808879687,0.0724069688010601,0.0670747889778721,0.111548155713713,0.023973140832365,0.279318991080057,0.301929865516239,0.0507756775676844,0.159157518897987,0.194483774186414,0.0407886722425048,0.178198440415033,0.150627375875285,0.0624669533168247,0.0932809328183023,0.098914101468426,0.13764342973274,0.13632165305098,0.0469599152350713,-0.019643498633396
"IS-NLE",0.157355875643909,0.298879202131737,0.62148900378836,0.422645701437201,0.359297328440304,0.431332226791071,0.294299693881992,0.344136142735908,0.367225609396,0.375087717609094,0.29243888763605,0.108050515589132,0.142636528688879,0.086084293105782,0.2573181901244,0.113506592430552,0.137332473001505,-0.0241937324940099,0.0992617191940617,0.00888985382406876,0.297099183721299,0.190904324832989,0.0378541583500712,0.156221834519112,0.249358860143974,0.0486844521104472,0.259180262110523,0.0379504693675803,0.0880937778983741,0.0632171186205788,0.0676849907920519,0.151742670727224,0.212719915716601,0.0847866943174199,-0.0278487551864239
"IS-PNS",0.673900450147764,0.62148900378836,3.68077549473019,2.06466910730384,2.35209682623513,2.66415393746082,2.3171192589436,2.21315814649488,2.59390570878963,1.51311865597332,1.24804334525329,0.170386754835887,0.396892171257039,0.385221705153377,1.15444585740819,0.771857962221719,1.01258241772366,0.386130361292427,0.637529023418568,0.133558818642688,1.8069031280275,1.54901184201378,0.317497100963448,0.936274626538135,1.06255892414571,0.166654893726434,0.712277489306005,0.693646252491952,0.592507180687146,-0.0273902720915199,0.653931692619456,0.259016108940716,0.914767721242297,0.390219217341819,-0.0729925744008436
"PM-ZS",0.254697316648199,0.422645701437201,2.06466910730384,1.66459634213309,1.6393747342876,1.78764136963992,1.46925574876222,1.51002667226982,1.61575292598516,0.94230546185401,0.708412086301835,0.0769926816111731,0.207840503117548,0.226603138367974,0.666169040560906,0.520283277019117,0.577205355254452,0.212285534479828,0.395918930942223,0.00181666550176353,1.08180533373134,0.936518007630223,0.164332690023111,0.794344851189998,0.602465206879629,0.0878831027165267,0.419639359893853,0.405864945275031,0.352048770554396,-0.0387734094014935,0.555003704561789,0.0869264536668915,0.572475223043536,0.187846049558976,-0.0546488112204565
"PM-ZI",0.200903799020083,0.359297328440304,2.35209682623513,1.6393747342876,2.23774025370726,2.27198795772986,1.78845178049165,1.62194536714033,2.1549994952711,1.00621312079149,0.677355460397161,-0.000350746117909574,0.195364304080348,0.243785459209568,0.775911028718089,0.601788067363069,0.791138913036339,0.344568854168028,0.537055655558346,0.176070220424323,1.09718322607045,0.968384947402215,0.243229470732409,0.902690136434179,0.779239753539453,0.140908537932821,0.435639241017886,0.519779957125988,0.453844694520438,-0.171115998169859,0.666550009755154,-0.0229606126789818,0.665209152786358,0.318121420646357,-0.0507827017664307
"PM-MT",0.270197561234946,0.431332226791071,2.66415393746082,1.78764136963992,2.27198795772986,2.53514273616925,1.90489389076252,1.79150659682922,2.27146343480113,1.17082385865461,0.82426779485774,0.0569752908804056,0.282667336894242,0.242340111135442,0.828030086287527,0.629698505669577,0.901853935126423,0.292247232099736,0.565947399943839,0.150015278537512,1.39152501273059,1.16595049828764,0.284850245569387,0.972633956245042,0.850732826364663,0.128716483682577,0.483265209651534,0.541619499132508,0.536810537150218,-0.179266270608842,0.7217328651161,-0.0460997215750576,0.681010939217046,0.270524026410539,-0.106835625963416
"NLE-NON",0.32234530343388,0.294299693881992,2.3171192589436,1.46925574876222,1.78845178049165,1.90489389076252,1.99260033771109,1.6080228115613,1.95038709316433,0.723543802475312,0.669629480019326,0.007544655085843,0.183168808621878,0.220966304958401,0.655424991885188,0.409157012807584,0.653466828082276,0.30704357334988,0.477669274883811,0.173567023948471,1.18444479468815,1.20579753951322,0.148535938540761,0.81711656116162,0.677974074462318,0.0776580708643028,0.441432242753165,0.413425699251969,0.447939241815197,-0.143679182105008,0.613292118597643,-0.0217815701593606,0.456115738793823,0.203997073052571,-0.0584061066242427
"NLE-ZS",0.390744229106153,0.344136142735908,2.21315814649488,1.51002667226982,1.62194536714033,1.79150659682922,1.6080228115613,1.66921062968249,1.86944335781868,0.946900376493547,0.744314304513667,0.0773938230701558,0.197680510814303,0.18349853558769,0.632507727819871,0.415197254207747,0.563303696449308,0.290574643510976,0.423668885270688,0.0757570143239773,1.16597863372117,1.05761834186422,0.189858971666991,0.81738734749545,0.618839488728723,0.0889894578845583,0.413964175720832,0.453075644796852,0.332844991002447,0.0154187571067589,0.554730836910804,0.00527556688341227,0.450075750156585,0.0715455739886224,-0.0294681024811306
"NLE-ZI",0.40769186447525,0.367225609396,2.59390570878963,1.61575292598516,2.1549994952711,2.27146343480113,1.95038709316433,1.86944335781868,2.43505007326808,1.06740097641631,0.838834746662363,0.0508054992022608,0.239852317104102,0.228552204191553,0.806947980777458,0.521084641825958,0.784208538959483,0.411641489208409,0.634999082354609,0.189108684949417,1.27536647197192,1.15849382234767,0.264015100034589,0.942525659783808,0.833028948860402,0.138768756127207,0.491301989823179,0.53598061155196,0.439592557595434,-0.0383113616592623,0.710189339863776,-0.0403278935755941,0.574418375456997,0.178296091767896,-0.0272863673208295
"NON-BR",0.283738493466985,0.375087717609094,1.51311865597332,0.94230546185401,1.00621312079149,1.17082385865461,0.723543802475312,0.946900376493547,1.06740097641631,1.64659211056157,0.602736635215894,0.218614070226965,0.34238715046489,0.336530921072165,0.70632077949835,0.632440355756836,0.575094545896481,0.217020182336681,0.237439577298138,-0.0534075708009539,0.914662204140839,0.643359226117439,0.184272432416647,0.553006665338128,0.506015324630058,0.111258632024622,0.341626564530682,0.434742505554586,0.195891338447868,-0.0288644995103453,-0.236016045359383,0.173971944371835,0.718354271581802,0.274392514263585,-0.0838819199800394
