"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",8.13528539474447,9.63825580542148,18.5613064432705,11.4035836877978,4.30302546626767,8.12301111055887,13.4631851848434,8.21553831888184,9.4641564396089,13.657119457474,16.1821335375034,9.25788808748969,10.4602406419103,4.9044566826386,13.2760004621796,8.96174743735472,18.6205065798031,0.204095686208082,7.18194430774108,4.71184410281093,18.5378625894721,15.50243274559,5.09681307952515,13.7763913303006,8.0636752086509,2.70071554555202,12.0609036381787,14.0616849019327,17.706578376461,8.38466606629801,5.00209446125115,8.17517617678301,11.7123813158891,3.44106117084019,2.08671266643958
"IS-NLE",9.63825580542148,32.6563415040875,39.7919102978509,32.2055114742183,18.1440018216636,22.1109364914587,24.9411403728252,14.9381526558453,19.7943791526631,32.7941008464362,34.5604655208024,17.6169459048909,25.3497300309479,10.3225699134476,25.2624667453839,16.8276880900469,42.4804388866694,4.32606634387902,14.2479749318472,7.72229163348506,39.0558509564292,38.3924299236313,12.8712101846154,26.4884584033549,17.356687508709,4.21525026853918,27.5530066920405,30.3993133692918,40.1496737165982,18.9391056920361,5.70939986231305,18.7093170118252,19.5328009595824,6.40853303310626,3.57897237115623
"IS-PNS",18.5613064432705,39.7919102978509,74.0884886512888,50.5167804181823,27.5941176026631,40.2410787917622,49.9787762763991,30.8350302069517,36.650576307466,47.5453928801644,59.6822655762571,28.5117442559034,39.8867612482634,19.3500582934077,48.3679819988073,33.2032872549084,68.491319289404,5.09603692474474,26.0775580839978,13.5563876028648,68.1849937752489,60.80040741373,22.6879646119609,43.4864903301235,30.1176650421288,8.10748734408775,45.6207102258531,50.3120913848305,63.7835558044335,29.5275823919739,11.9208993620431,37.5806452066856,39.9024198152766,17.3517730352404,4.88880004461827
"PM-ZS",11.4035836877978,32.2055114742183,50.5167804181823,43.9635252309596,21.1039131269651,29.4938298000304,35.7899751098515,22.3554447494884,23.02743502581,37.4256700888223,44.3741735982671,20.6620535643664,31.3062455725098,16.8924157038043,37.5023871504074,26.853587420614,55.2913274960171,7.53814069595867,19.4892324400629,9.64552824552393,53.1462602217606,46.4241740900571,16.050336390632,33.95732502997,22.0925225040683,5.28817845152149,36.0544868965379,37.6138172113885,50.9823641824861,20.8569474874894,12.0430643928998,22.7137862673237,30.7257903149498,12.0561539738528,4.54236064678362
"PM-ZI",4.30302546626767,18.1440018216636,27.5941176026631,21.1039131269651,18.4904329784338,19.3407933484305,20.174731114308,11.1233940182844,17.6750903301466,17.081020309975,20.8693269068758,10.2280875939235,17.084510083526,8.70872784653546,18.344198890621,11.2027467862608,23.0093200153937,2.18719588565208,9.84167702242292,5.05313655986064,21.0609824799538,22.7917488128605,7.5394233410968,19.743813005315,10.9386633062159,3.1850950743604,17.9340388797472,19.2603038086295,22.1849669181906,13.5250589854347,1.2677513358931,17.077303392079,13.7106389601388,6.70929292286477,1.78108619140074
"PM-MT",8.12301111055887,22.1109364914587,40.2410787917622,29.4938298000304,19.3407933484305,26.9668800699937,27.9301948343769,16.9599379353119,20.9754068679442,25.8300533540648,30.7866556476228,14.6674120650223,22.2115012338572,11.463815562851,26.3759203562278,16.7080442736778,36.7208815477528,2.58033751670267,13.5412933201497,7.68557102536094,38.0000868274707,34.2434846715451,10.6271480626766,27.6022062233196,15.4021045979833,5.08983915013553,26.111812013095,26.7186279675877,35.0378546897219,17.6558799266759,3.43378070245153,23.2089564380964,20.4283715458275,9.89635359460937,2.30274777670241
"NLE-NON",13.4631851848434,24.9411403728252,49.9787762763991,35.7899751098515,20.174731114308,27.9301948343769,55.8349242298923,24.9673394442497,27.9861782518716,22.7078786814864,42.7887219369299,20.2263496709839,29.3722833737171,11.3473498737269,32.3732512446021,23.6464137721672,48.0482040427353,2.70616304683458,17.9309267764853,11.0323662790357,47.3014311346006,43.3889949227571,14.1152046288391,31.7139473094561,23.0684046873062,4.35903958773202,31.4942855556111,36.0629714530751,44.5321869074141,23.373181841167,6.35219350807948,26.1807271677766,27.5195313378382,11.1791290226931,6.4782366447541
"NLE-ZS",8.21553831888184,14.9381526558453,30.8350302069517,22.3554447494884,11.1233940182844,16.9599379353119,24.9673394442497,18.344838431864,18.5130809945804,20.5057310265523,24.9868703915218,12.9689021110437,17.3371943297357,7.27376471239182,21.0040658925791,15.0295022145895,30.8002009665338,2.66544625957254,10.2160363044567,5.849693301305,29.6451989222773,26.0729575206484,9.21441423398178,19.4874825596601,13.5327876989205,3.45122154490813,20.4113684178392,21.564598102397,28.4596322165125,11.3475366439654,8.58465288147559,14.110352421568,17.8116948509951,8.01563396650142,2.81589353213551
"NLE-ZI",9.4641564396089,19.7943791526631,36.650576307466,23.02743502581,17.6750903301466,20.9754068679442,27.9861782518716,18.5130809945804,27.1642967344944,22.9863195486733,30.7717023951899,15.6903344368097,22.0517841028946,12.0002538277335,25.8768528707598,18.2052859622486,34.0908196270254,3.74524960814544,15.1770870050252,7.77788280505547,29.242983418492,29.3118328047391,10.7555295144204,25.0239278879049,14.1499496053109,5.05665299572685,23.5818119184711,26.1072175420837,31.6700969841105,16.5904140663613,4.02965335625194,21.7504459602286,21.5135452847055,9.79174342640691,2.96216349022476
"NON-BR",13.657119457474,32.7941008464362,47.5453928801644,37.4256700888223,17.081020309975,25.8300533540648,22.7078786814864,20.5057310265523,22.9863195486733,63.5024047524098,45.4305633085509,22.492191150871,30.3119934303608,16.5011509295004,36.3387892935587,24.9468633445843,54.4452731801982,8.20276155208122,18.1619422455369,10.5270455968174,48.579159233084,47.1404254780073,13.9159851909326,30.6334088089008,22.7967786709935,4.29750870742102,33.7249818888257,33.9162824208479,48.9762658505783,18.5084140786747,2.81726930315653,23.4417921716325,28.225349581698,11.6225269526965,4.00396014377
