"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",23.1967384568729,48.8055171733814,65.960392725129,39.4341499611305,34.9700423592796,31.9073055256861,36.1899500366324,22.7308311410236,37.3026145862665,43.7541666698376,41.0612714274449,21.9315052015479,31.944702514766,21.1051289116082,41.6249539182127,27.6945892014148,53.9185257833882,11.8478749322156,17.3866908603056,23.3313971825815,41.417484612272,45.2081263133482,15.0435428536259,34.6939615836323,20.9130318700825,6.30152204383245,38.1726087242877,31.3636193601508,48.6367087620407,22.8267262848513,14.9706672381121,20.8772428553345,38.6408363029156,13.5894199264986,7.07497131523324
"IS-NLE",48.8055171733814,130.114136084885,160.011404322655,110.971817512292,95.6164019724312,86.4777495489851,82.9693585837046,52.6720517697176,89.337013726181,109.761503052589,104.023959430957,53.0958859301999,81.5199188847755,52.6146699442577,102.38349023928,70.3839441629664,144.260001060004,36.0844788977649,45.3823008254925,60.1370036787789,108.478928332259,119.456655476547,37.2380127225124,85.7295100498587,52.179751436809,16.6087891396434,95.3012692228335,79.8790576812739,128.043445216717,56.7524997560715,43.7640672358573,51.2419971944909,94.8852625029343,34.4814195020075,16.0064730767823
"IS-PNS",65.960392725129,160.011404322655,245.432221880508,153.335534467457,144.239719118317,124.732970709065,113.282518302386,83.1633188375688,138.267437162994,167.337337471657,153.55101286576,74.8912122343038,122.9576118515,72.2799645944287,140.501644647486,96.3202339286331,198.9485506982,47.0830621715873,68.3674856244962,85.3972126296026,139.326120546044,176.531324233408,64.1644769509707,114.237156437388,73.9911083265554,21.0298240142333,132.263287459232,118.413930195622,180.589430051787,83.6363818719023,80.1613715533275,68.8200552603013,134.261331172838,47.9970749254792,24.3429711085579
"PM-ZS",39.4341499611305,110.971817512292,153.335534467457,111.253742769149,100.58975075676,84.6945456859866,71.4901600266648,54.4223006569174,90.5865571001281,112.204745542758,99.180403156635,48.4793604084183,81.066796344227,46.074125305198,89.2804647460826,62.364684217312,131.879171867511,34.1770668440612,48.2056251518769,54.9280605242852,90.821359008378,116.956238754123,38.7745363889747,78.2659291532703,47.4035504167927,15.2477098547579,85.8111245780442,73.6343842773655,117.546227270088,53.8834230513898,56.8749693763671,45.6240714990424,85.6325290745181,32.3356485428781,13.5582607561766
"PM-ZI",34.9700423592796,95.6164019724312,144.239719118317,100.58975075676,109.566094301746,82.1601051810563,63.1073863158958,54.727942573422,99.5327045585366,103.864070564454,95.9254623533248,46.5765948644141,86.6782641881501,49.8045451533748,90.4440741182917,63.0168131952139,120.282238532577,37.1635923633951,48.1892450327161,55.9853273672809,61.7558067964439,105.690040359667,36.5028041434356,74.1711682593237,45.6232733464767,12.6961319514636,77.9941207133506,71.046625163314,107.902447640139,53.6321362298997,72.6808111800422,44.3203743324697,88.6637367572792,34.740506326513,12.8915527369483
"PM-MT",31.9073055256861,86.4777495489851,124.732970709065,84.6945456859866,82.1601051810563,73.8300448459344,55.5232855134828,43.3317202843789,76.4823798181064,86.5129479368773,78.3955414908195,39.1700054592138,66.8099887282035,38.6024959221045,76.0155107587057,52.9887174690716,104.611786743543,27.4566139655113,39.8170315607818,48.0896193889368,71.9281827799874,93.1492287225548,28.027822161492,63.5817391680525,40.107337426788,12.3625210633417,68.1757939187255,60.3074120305677,93.2027276384946,43.3351246712673,47.9749105479277,38.2536194932497,72.5561868216323,26.9048452489311,12.4085359065947
"NLE-NON",36.1899500366324,82.9693585837046,113.282518302386,71.4901600266648,63.1073863158958,55.5232855134828,99.7629568288505,41.0623356942729,61.5367527952164,59.5312752268512,66.6032491718127,35.9700374754646,50.9002292267637,33.4729098398682,65.5004261926586,41.0107906208544,97.3262190518941,15.5614992875888,24.2281985723201,38.1901328637692,80.3648384431298,88.9213096725119,29.4938042227673,66.3215225863938,36.1407134879068,8.33140282115475,66.0250387469704,61.8793804018017,92.1693226392765,37.7912050014665,12.8070635610733,31.5081118839307,58.2838993037673,24.941917405764,13.0106600303146
"NLE-ZS",22.7308311410236,52.6720517697176,83.1633188375688,54.4223006569174,54.727942573422,43.3317202843789,41.0623356942729,41.9692872716586,58.3623121130956,71.9411515303786,52.4299730053066,29.1812332523801,44.0637528264415,24.0280517837872,47.615965564923,30.5864307594907,66.2623097941046,19.1021015167652,18.7643483033444,30.1477240331737,43.3601853972219,65.9891135575547,21.3009246101637,48.7773599001496,25.9153562228898,6.74935143407553,44.9387822403941,45.2523559955649,60.8932143075843,32.1619611322256,28.1318957100758,25.8219784432326,46.9855679366187,15.5859355204793,7.05689820827036
"NLE-ZI",37.3026145862665,89.337013726181,138.267437162994,90.5865571001281,99.5327045585366,76.4823798181064,61.5367527952164,58.3623121130956,103.804055060678,109.706116004637,94.2008592624712,48.6207506187204,81.8888357394063,45.9878974931783,87.2627703326367,58.0435418938457,118.022718761275,31.7593754017812,48.8603167193068,57.7608774192235,63.6062400226987,104.365486949087,34.3750559744502,76.6994723995538,44.9543735698757,12.2199306840747,78.3266926393781,71.5321791868106,107.184918553458,56.3622056577818,62.8058306866189,45.1277857005125,86.3167306422514,29.4283524276738,13.2321173212821
"NON-BR",43.7541666698376,109.761503052589,167.337337471657,112.204745542758,103.864070564454,86.5129479368773,59.5312752268512,71.9411515303786,109.706116004637,197.842293090732,109.831035448997,59.0970496284755,76.6276573624696,38.9950851286391,86.2652602486627,54.8769843704567,146.671351375592,29.2665471390135,49.8535683595918,57.9438940164774,99.2298371471933,137.313166334355,40.5770443230884,90.2791490354555,50.8655382546906,14.7833225087895,95.078889276718,83.6327993193202,135.253855192965,63.9499369087339,35.7148842691515,50.1884726093177,83.0903114810853,27.0775722442776,18.0173600338322
"NON-PNS",41.0612714274449,104.023959430957,153.55101286576,99.180403156635,95.9254623533248,78.3955414908195,66.6032491718127,52.4299730053066,94.2008592624712,109.831035448997,110.695395842029,51.2983043498088,88.9413219144779,52.3752525376944,95.9005004742845,66.9772556787063,136.650078442383,33.9692071954274,49.1605605202467,60.5415173567084,86.1866211038114,117.899701218186,42.6806776202824,75.3795606557517,48.0817402814079,13.6120255263756,88.2749483677695,79.5018934969495,123.882027379981,59.991756571764,64.5988700769247,47.5079203587119,92.9660579889792,31.0108507603505,15.5269016385057
"BR-PT",21.9315052015479,53.0958859301999,74.8912122343038,48.4793604084183,46.5765948644141,39.1700054592138,35.9700374754646,29.1812332523801,48.6207506187204,59.0970496284755,51.2983043498088,39.8451993859321,51.6940094275575,22.1708009812324,44.0951040092997,26.9997330606516,61.8694848164921,12.4005826542175,21.8984061302629,30.6989444898937,45.073627558542,54.2990699325954,18.5825927439594,42.3400350606727,22.3735217089754,6.14509457129598,44.0370246506288,38.1895147296957,57.4684989017401,31.2531292962549,32.3121142667486,23.7539982039003,46.2175934284062,13.9096473007864,5.03059925583706
"BR-APET",31.944702514766,81.5199188847755,122.9576118515,81.066796344227,86.6782641881501,66.8099887282035,50.9002292267637,44.0637528264415,81.8888357394063,76.6276573624696,88.9413219144779,51.6940094275575,105.759887531333,58.9306595325675,91.7926719577604,66.5848243464023,107.465300569223,38.1899757699667,40.1955329605541,51.5211920590897,60.7231107074582,93.9262536450593,32.3944937669019,71.1056054756105,37.5567965900964,12.7960848044484,69.6668788703271,67.4206652831085,94.7899704958965,48.8757819883022,92.6397480294445,39.6148905753579,93.3353028490192,34.4744007573537,10.3443857958364
