"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",9.77838999792565,12.331626260437,25.8805893924715,14.7897698951073,10.9380827035447,10.7828705278728,10.063777474625,11.8271550576996,16.316554771131,28.1406127864511,15.6870034068853,6.27432665521436,11.7558421310172,7.93508477745175,16.8639343637037,14.1244751643521,29.0076628423785,3.96641918022186,7.1560390878828,5.33691172899366,21.6372028393816,20.9669435695866,8.75219505495071,17.7329546728386,9.77621397531134,2.26544587661489,18.9489886139134,11.8041027923814,25.9204957852303,10.0230590274455,-3.17328775671433,11.2711946592098,13.3115794138304,7.07636838729037,3.60546536156725
"IS-NLE",12.331626260437,47.7772088944674,56.3716163186438,38.2980910744748,30.8743924821225,32.4904908580152,16.9158512846069,23.5284933697661,32.7348019666392,63.38191139777,33.8135044703988,11.3316770867591,17.8841197473289,14.2187857789055,28.4409702209206,20.135628038337,59.0326001312213,8.16890582519142,12.365509275923,10.3459413831356,45.6132637689747,44.2023672956931,15.5137919598164,35.083724015072,16.6846436461772,6.31694650600499,34.8593912314746,25.6795524083416,54.3613278904405,14.8565692773116,-14.3781285922414,16.3592576805801,19.9606373212302,16.0711508978396,4.90928998626855
"IS-PNS",25.8805893924715,56.3716163186438,118.134842409603,73.1288870613722,60.2263289037564,62.8424180814093,48.1197714554228,53.0286558997875,70.5021153887519,122.986751157278,71.6258421049483,25.8127520177721,42.0451199700314,24.5512709355998,62.4841629877397,45.7267832031825,108.898069509173,8.40362495383142,27.6830936676715,22.6638489637176,86.1948905477747,85.4577723064513,38.6266601998689,64.3138555665415,40.1581112297118,13.5028918982182,74.9627844528842,47.0061678709751,100.163120523239,35.928750540968,-7.1642335613987,37.5789719712506,47.2231378049491,30.3172108396353,13.6882215914984
"PM-ZS",14.7897698951073,38.2980910744748,73.1288870613722,55.3606488703408,45.5296420667694,43.1325260375404,38.0115898955504,37.9623201258856,48.4075121787956,82.38960575919,46.6597494951024,15.2477444131918,27.7916942435161,20.3001874024221,46.4501707903717,34.5052003911283,73.7772302945913,6.4582543028366,18.6272118013282,14.3676992231323,56.4242691769307,56.2580271963588,22.5816251552449,51.4295403423875,28.0534323245079,9.60391432021036,51.2116150368883,31.5389273884305,66.8775670807695,23.9966482082377,-5.30548561392788,25.4060171500047,33.2777431933634,21.6811188187524,10.1520237032546
"PM-ZI",10.9380827035447,30.8743924821225,60.2263289037564,45.5296420667694,44.217698311114,38.4669308146003,29.3353882017828,31.9282817042363,44.5630362327629,72.5335485774799,37.3189724323729,12.4124543669346,22.5893285876746,18.3520270138291,40.2358202582935,29.6296772163988,59.7524775576517,3.7043374189197,16.8078483381923,12.6164069695193,42.093686023177,40.0307191590432,17.2090412032679,43.9375631918527,23.3027837460989,8.13049672077118,42.2904235943097,25.2844788368039,53.4876278323045,17.3979303989729,-2.96266798085224,19.7685829720491,28.5444821104766,20.6360602492317,8.63882983639393
"PM-MT",10.7828705278728,32.4904908580152,62.8424180814093,43.1325260375404,38.4669308146003,41.8620870571046,29.0818031546332,29.0590636403351,39.0389465888708,65.948141877737,37.2352381839243,14.2790418351055,22.2743663553397,12.2042382933949,32.9856739781527,22.6314834633457,54.1880395312768,2.55781950680534,15.4248016455302,12.3013004468266,45.44131896693,43.4730091046625,15.3677957765601,37.4539364803255,21.6915460628549,6.38434780844768,38.4892042928259,23.6890098264704,50.0307690392502,17.5353344948453,-4.01049674310738,20.0983770220477,24.9618456283226,18.1625715639423,7.74251090837964
"NLE-NON",10.063777474625,16.9158512846069,48.1197714554228,38.0115898955504,29.3353882017828,29.0818031546332,62.4465060850631,29.0209142925513,32.754523307953,26.0820342118001,23.7278509921098,10.0752663057968,21.8350653099417,12.1307774728326,32.203868140703,24.3504344851701,39.7811052909511,-0.874221162553589,13.2520160441904,5.76862855151751,34.5361332657213,37.9745405564662,12.7032291247379,39.3760878841958,19.6982289782834,7.33035411548453,30.6389662522078,19.0281237341737,36.7483270805514,15.5115388292164,7.93363842759579,19.0060570708059,28.2873692679846,14.850759532648,9.18652452950348
"NLE-ZS",11.8271550576996,23.5284933697661,53.0286558997875,37.9623201258856,31.9282817042363,29.0590636403351,29.0209142925513,33.1056663410856,39.357209309716,64.2661367364735,34.3991871772624,10.9909898701429,19.9415634023061,16.5352831878157,34.6712088364963,27.7647466253932,54.5157251829185,5.69412033391151,10.788244707628,11.616437175037,38.6651038329259,38.0608312455456,17.5798296887454,36.009190166626,19.2925872206514,8.01155605099012,36.8173975880849,23.9253262289395,48.263387981921,19.550825917566,-3.92536876984731,19.0889284881345,26.3007621593573,12.3615088127954,6.31540209572315
"NLE-ZI",16.316554771131,32.7348019666392,70.5021153887519,48.4075121787956,44.5630362327629,39.0389465888708,32.754523307953,39.357209309716,56.5370625090091,89.7741302458997,48.4365203021709,13.8281072836766,28.1706378876908,25.2250086379728,50.6794821205564,40.6518354644589,79.3411233523783,9.82223826817201,22.7504485064138,17.2500632940757,52.6595551147227,52.0036800013404,23.7390155000314,49.2681067846117,27.6092358647736,10.187348772289,52.7532465361404,31.8685721983505,69.8544012693997,26.0963937494449,-4.40221833722033,26.8609685498814,36.9611582684355,20.4282989928517,9.83645035984782
"NON-BR",28.1406127864511,63.38191139777,122.986751157278,82.38960575919,72.5335485774799,65.948141877737,26.0820342118001,64.2661367364735,89.7741302458997,214.447471406001,91.8505308892982,30.1793108231837,35.1308862843191,30.4168758462262,71.6932542954985,52.8340066535373,136.540454185208,15.6728052206921,32.6186432122028,29.7047900078356,98.8644374752898,98.2650558624972,42.3701112824198,81.887677337876,45.994791175945,17.8300988864637,91.8677890675463,57.7851110083153,124.183554423837,48.2839036411988,-36.2466041239223,42.1897389293221,48.4725995322435,29.1628495938462,15.9123794444324
"NON-PNS",15.6870034068853,33.8135044703988,71.6258421049483,46.6597494951024,37.3189724323729,37.2352381839243,23.7278509921098,34.3991871772624,48.4365203021709,91.8505308892982,64.7266802205887,14.7717383570942,31.0200003754894,24.323497773002,49.3798526850393,39.7989354863179,81.9567025842791,15.2011055579522,19.761795159554,17.9456587966145,59.7897476842001,58.9202179368653,26.1726937232884,42.7764015671221,26.5849855339385,9.77749109684014,53.0250697316265,31.6274419368399,72.3618091059401,28.133866810041,-0.954208763497028,28.4408325479933,37.1834027429205,20.2896155251104,10.4007840015444
"BR-PT",6.27432665521436,11.3316770867591,25.8127520177721,15.2477444131918,12.4124543669346,14.2790418351055,10.0752663057968,10.9909898701429,13.8281072836766,30.1793108231837,14.7717383570942,19.1740841642697,14.4700568035007,-5.16571571631221,4.67507991281229,-2.27994640058034,19.2577200055096,-7.40190196663756,4.58410927172152,5.85970725410773,21.6564125527453,21.3331574184956,8.52282875905261,18.1055322723016,9.72328262455332,3.1222506343046,18.8216368219388,14.0617632644867,21.8317653995363,11.4528042562401,-3.34603713861295,11.4338788695588,3.11538947492218,6.78835089340413,2.49014701946766
