"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",4.73769899688909,7.6870305310938,11.7195111467448,3.27809496311485,3.91835408119874,4.96175764985787,3.69655301647846,4.1950511200339,7.15935303625196,14.6845930134292,8.50581284315083,4.17351866568039,3.30811384950018,3.75262150251091,7.23096250157703,3.88367046061837,8.81507009903665,2.9230030380884,2.32496836637759,5.18956289750155,8.35777768430987,10.0007514294166,2.51946915184199,8.22753800419445,2.85070692036492,2.34456171334127,7.72890352317142,7.18694438322611,7.80812486724403,2.48928448740412,-1.39639051828856,5.64998208854661,5.97860678542056,3.73307089985052,1.14994300820635
"IS-NLE",7.6870305310938,23.1234295507643,26.8488385892656,12.6091563675605,13.0352717752376,16.6953775176771,12.7692537951295,12.2018050574431,17.2986524216205,20.9253204770101,16.1862611901858,6.11909120043041,7.83060326660779,10.8536575677403,19.8028002265614,12.8293412674062,22.2142103718217,7.70125911963437,3.63028340188241,12.7951782432267,20.5155798045318,25.0170899846469,4.16680527175091,21.4893572908709,7.11554159307096,4.77441394333417,17.4778121399205,18.0616958992084,19.4580523816602,3.93720100169843,7.74318122802572,10.5803515766858,16.9566334119094,6.55933952722077,1.65789156398315
"IS-PNS",11.7195111467448,26.8488385892656,75.8925530968054,22.8685691557571,35.5086312466893,41.1260186065943,27.7321445834867,24.9066337203419,40.6978784198293,55.8746233333443,47.2545623565736,11.9335600045529,13.5473388846197,18.5819419478577,38.9380073576263,21.8940448840872,36.0868708836006,7.23856767220835,12.3627820645808,23.9777721022432,28.5992702410057,42.4924168778239,19.2592270098143,21.145690337862,18.6284256466049,9.69113500043403,35.0973633279371,29.4963777544699,32.391729323367,12.4436006785945,8.56046596022372,19.3828608256912,39.0458675040452,16.2967238201163,0.730630696864005
"PM-ZS",3.27809496311485,12.6091563675605,22.8685691557571,21.1687464113337,18.4928014422242,17.5590803092413,19.4084386549182,18.5390882810384,18.9826670042245,15.4834752335993,13.0019558235982,3.12930300467751,6.49654375305525,7.21956418665435,16.3475223143456,11.4395507928822,18.6333150786522,5.37684119389689,1.04870966030641,8.94964801301881,14.4224901216728,18.8914120336272,4.39929964956845,18.8599469515646,8.71849642188722,5.47460383810654,14.2092172543725,14.9060012731311,16.1947960638144,6.31689260839786,10.547385541849,7.90399430238592,18.9446484407365,5.18759113038044,1.63922143381642
"PM-ZI",3.91835408119874,13.0352717752376,35.5086312466893,18.4928014422242,26.0878324762975,23.9752964194132,21.9805348742108,19.9354447665275,27.3534509230399,25.3808486121476,21.5977217911146,5.96222926591145,6.7948007005065,8.56445179762167,20.4855222989215,12.4047974600327,20.922564092741,3.68343300395613,4.86866276519857,14.5629541681386,12.1626851046611,21.9483972372585,8.17593777544004,18.8642149773747,10.204407556709,6.1893591353218,19.0404187539777,18.4505216519831,18.8907010605897,6.48405467448025,7.93619626032229,9.32400877662631,23.4230364283856,8.24731538739525,1.12247915864595
"PM-MT",4.96175764985787,16.6953775176771,41.1260186065943,17.5590803092413,23.9752964194132,29.0239359842022,21.0482712423686,18.7097969466061,27.9314550021114,28.1068316626525,26.1814675458548,6.40108046259239,8.37257316990958,12.8936028155892,26.2337903714909,17.3383011570365,23.6582843890485,6.07731318426786,7.74707306853206,16.3239470331835,17.5173712187123,24.4748542496137,7.29708879305194,16.4527135165683,11.7023223804326,5.73911646649787,19.7694992941191,18.0450330868132,20.5070364898474,9.10025654348389,8.88862838325014,12.4062861506809,27.9056089741575,8.22499946474453,0.987115907928648
"NLE-NON",3.69655301647846,12.7692537951295,27.7321445834867,19.4084386549182,21.9805348742108,21.0482712423686,40.8957791606035,23.0917406318865,24.9441707700507,8.20780859615236,12.1322314495769,6.65068776229026,2.17909431307591,6.50265358759811,17.5960899418596,13.277463888642,22.3398194942501,7.76201095731296,0.292847571087171,10.0329709814143,12.2407564069569,16.4668002859329,5.91492595601761,16.7843785020562,8.95660073051372,6.02861851981508,15.1352448184585,17.3018477771806,18.6301896626048,3.38329635029793,3.24887941978707,5.55222919707106,20.7542656452753,3.38080245197528,0.724570610495692
"NLE-ZS",4.1950511200339,12.2018050574431,24.9066337203419,18.5390882810384,19.9354447665275,18.7097969466061,23.0917406318865,26.9644770633226,25.7958417413091,17.0952094545503,15.446031479161,6.84437654989289,4.43778470473414,5.03802413097791,16.2422801614651,11.2568556164184,18.2996694198949,3.62896149283489,-2.48175913021207,11.106750424516,12.9088400928629,17.9921793480647,5.73906926580019,19.665750735658,9.14041206889565,5.55255024007854,14.6263417924872,17.1988589163173,16.480115123959,3.3192876482493,16.3575752686716,2.82975493863253,22.3713856257989,6.7337327759323,0.815148492773876
"NLE-ZI",7.15935303625196,17.2986524216205,40.6978784198293,18.9826670042245,27.3534509230399,27.9314550021114,24.9441707700507,25.7958417413091,37.4981782799765,33.9811049301608,29.7115148527127,10.4640818224139,8.70351072290891,12.0128678740359,26.6467661835694,18.1130192722061,29.9315277423388,7.79260474393009,9.02612429221879,20.1906945905553,17.7422585564961,27.1374276099696,8.36350380089934,23.4393094988543,11.9163235886869,8.34308406276638,22.7948953380983,25.2388850468619,26.2370935973803,7.81790934994124,7.4438191498818,12.2134486288943,29.6796102697853,10.7542664175763,2.80404576715728
"NON-BR",14.6845930134292,20.9253204770101,55.8746233333443,15.4834752335993,25.3808486121476,28.1068316626525,8.20780859615236,17.0952094545503,33.9811049301608,111.760530606814,56.1661386527003,20.4243181885522,15.7739928443958,12.6743195541412,32.7677903964161,13.3715245721566,39.891988046335,3.50631287581353,12.2972854276741,28.0605172408392,30.9825603546031,47.9273132047575,10.8152626132438,34.7397928182589,19.1249926936487,8.20161194779078,36.6555513933117,34.9651818123843,38.5119356516635,24.1035661327329,-29.210788117208,35.6201247246908,25.3622360044335,17.0050734094082,6.95931495902221
