"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0647880480987925,0.00844004173608856,0.040574159624082,0.010266469839295,-0.013079380867558,-0.00455463797634352,0.0979656860858832,0.073064482033625,0.0507331408532449,0.016265651574235,-0.0224989607073224,-0.0134950748918115,0.0166848194982868,0.0526433158743698,0.0576374322071111,0.0713638783370337,0.00107149427031991,0.0679163523251349,-0.021114401234332,0.0184757863705621,0.0286114549802684,0.0903424746431219,-0.0144074526639565,0.103328589508727,-0.019219801505694,-0.00213162589786369,-0.0323357864174711,0.0831118579628642,-0.00917992163284764,-0.0859348542827528,0.0615588671724514,-0.0370968906699391,0.0898586432746298,-0.025343204799502,0.00548853179760632
"IS-NLE",0.00844004173608856,0.330200587079545,0.57859191254792,0.219460153762551,0.295868571782531,0.351598906120488,0.101571095606564,0.06179236685242,0.243990197399015,0.485754556229623,0.410313897384411,0.10811615145174,0.0739463480734944,0.00993134263188304,0.26176454307097,0.127918788641881,0.183275680658225,-0.039766482795342,0.188078726746661,0.0278120314435399,0.431030881470302,0.360209235717321,0.276963652616269,0.0580101360179995,0.326908286659538,0.0500304386116163,0.233679768323686,0.172733252396704,0.163791556783666,-0.000883310244004029,0.0434716740529085,0.0739930014746829,0.1593913763703,0.106865051971931,0.045459371012997
"IS-PNS",0.040574159624082,0.57859191254792,5.55394510382498,1.28152292436158,1.94159738683879,2.20053283160612,0.825767241160983,0.835129996289068,1.8050592438751,2.26171679139739,4.26750038229403,0.206465235389578,0.823693622977225,0.618656680467404,1.71326320516477,0.695169100302327,1.27070361513789,-0.0138191583610994,0.989558278902262,0.111932967390025,2.20194847685581,1.49916998186979,3.02715029753846,-1.51374484509331,1.53035684814079,0.462082157848662,1.18795219483299,0.486296304680868,1.02515428127148,0.440282198856994,1.00498655375447,0.513060050997998,0.710251143565644,0.21476541651129,-0.0699429049729349
"PM-ZS",0.010266469839295,0.219460153762551,1.28152292436158,0.857452584909865,0.915802202185366,0.994959895688638,0.268389038614813,0.656578747008828,0.793386407961083,0.881105950966343,0.884924633628728,0.129046640109808,0.383904484614366,0.355542029842734,0.800562993379226,0.483295702296786,0.518886299029099,0.0081989708708706,0.158252988616337,0.15027178295788,0.71086389099707,0.341652482289756,0.337891403885546,0.198113003645868,0.564689354272541,0.237048884038016,0.424201364173905,0.262434403923793,0.398043558692179,0.276266158328464,0.453165079543617,0.179398913390697,0.563273412108496,-0.00903035889664386,-0.0590850418320908
"PM-ZI",-0.013079380867558,0.295868571782531,1.94159738683879,0.915802202185366,1.82899703519318,1.32612549258054,0.555379152551246,0.625731297121586,1.53020945686944,0.696664042749634,1.26346527018764,0.294245970472509,0.627226118348212,0.576612088273853,1.16608562879643,0.578378936849219,0.60133162573073,0.0535780854089123,0.879820786203757,0.366979888926153,0.439740058161324,-0.31238740196393,0.647158301821554,-0.0934785406225495,0.712960664341317,0.263350240543594,0.748521745812084,-0.199562755904872,0.321973843134528,0.870180780115586,0.740071186172087,0.466381931154816,0.763221451801938,0.195989664064331,0.0131159243521835
"PM-MT",-0.00455463797634352,0.351598906120488,2.20053283160612,0.994959895688638,1.32612549258054,1.70332957306078,0.564065416183583,0.675943661695692,1.20437317241674,1.31625428278695,1.56543343486853,0.219881256730351,0.562360527411474,0.388121667822587,1.12101758637145,0.550231001881996,0.788596110731426,0.0418554280067829,0.555736121707157,0.24543267404851,1.32942813588154,0.666948358445946,0.543947428350856,0.19616586767925,0.913219004974769,0.299593782123127,0.724540119691139,0.286667694886076,0.517782606261217,0.483437113776398,0.621506464254486,0.144120084869009,0.556982109831104,-0.0641374264817889,0.0127004145348144
"NLE-NON",0.0979656860858832,0.101571095606564,0.825767241160983,0.268389038614813,0.555379152551246,0.564065416183583,1.36630322124961,0.328336991664813,0.723019414716628,-0.245502308252823,0.220378415680873,0.0235675152885062,0.306902259551045,0.418834508701032,0.73499717769046,0.485993530073999,0.318858013491997,0.249069764117438,0.400341673765625,0.202501377058287,0.499504303583183,0.412978384728058,0.208952683524659,0.342666687386647,0.377118160851888,0.164783072770814,0.302429312516327,0.295456595500775,0.109244147768076,0.0891025243315949,0.418848355953396,0.0880053532303858,0.455730664504465,0.114671118190677,0.0386242133015874
"NLE-ZS",0.073064482033625,0.06179236685242,0.835129996289068,0.656578747008828,0.625731297121586,0.675943661695692,0.328336991664813,0.783158167944935,0.727799569121487,0.641539384763964,0.634985427613492,0.0268829999009587,0.323263617202302,0.47896959622929,0.776741313641267,0.621193926904422,0.426944179272376,0.146571999676024,-0.0409758485747096,0.153266270369874,0.457937576228461,0.276729132950488,0.151515602676657,0.194341126771192,0.420102098416226,0.196217606814661,0.213193003567436,0.29889881156483,0.291312792601862,0.13009856015012,0.514953810189943,0.101663346298404,0.680791218309623,-0.0079651809224559,-0.0200270477366664
"NLE-ZI",0.0507331408532449,0.243990197399015,1.8050592438751,0.793386407961083,1.53020945686944,1.20437317241674,0.723019414716628,0.727799569121487,1.50938570097926,0.684141222997565,1.28907545886908,0.21397002041234,0.621452610690263,0.667246490878002,1.24072034090399,0.761418163735759,0.665578621021782,0.188808519613749,0.768327353702662,0.373640710072515,0.572174687338215,-0.0206726067814834,0.585811920394447,0.00106374767489274,0.721651524580921,0.274763103584973,0.630577439550183,0.0327677747784946,0.351386733026176,0.592809461175306,0.799933043787691,0.333873166680765,0.882188363475702,0.179075225303276,0.0359292979404503
"NON-BR",0.016265651574235,0.485754556229623,2.26171679139739,0.881105950966343,0.696664042749634,1.31625428278695,-0.245502308252823,0.641539384763964,0.684141222997565,4.03321866136717,2.14000152122623,0.356998433298455,-0.0575280685150779,0.130187821713373,0.753778229184984,0.407087948958711,0.822604264763258,-0.430826557485594,0.0844288545876933,-0.126289808692767,1.68014622484516,1.53854833355063,0.966398504669923,0.183383607742744,0.917099550172692,0.134541018675876,0.474008849046648,0.872782548435095,1.01172705384973,-0.216348418555153,-0.48733338891302,-0.102085771347149,0.202490732961472,0.112286005013942,0.139996265131034
