"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.958824176902871,0.925075518264489,1.35670412459889,0.273457053728456,0.14937644035428,0.145537181804767,0.438673518322411,0.68360921138551,0.824905748623086,0.820742438342624,0.824524523425987,0.252182868489526,0.227613372499251,0.0463738117898942,0.329784710818503,0.245778794869277,0.506803756313309,0.273002812029003,0.228386544601573,0.278573050369925,0.531379690847687,0.895885745967069,0.332115254535156,0.244699623386135,0.372015749805636,0.22167502650367,0.389353741937407,0.45800019031668,0.512558761574528,0.332668339066025,-0.00765219421103529,0.119309738848643,0.0529699511982432,0.149296526021811,-0.0675996097327121
"IS-NLE",0.925075518264489,1.47067476732778,1.67087974939911,0.410741997542447,0.270145557483191,0.313952159388934,0.236440947742278,0.603476374928626,0.864805173619893,1.14108839778087,1.24735757164427,0.437085549684559,0.524185827618666,0.378171840717229,0.771727910987615,0.659557586377057,0.826978489288702,0.600233767945695,0.321399772192395,0.463068200415165,1.03666426702823,1.13193160453851,0.470876242270801,0.36644234834149,0.430024276165066,0.208181614266219,0.547948816377886,0.208244088906226,0.568881716079127,0.705043237662562,0.11222436961795,0.0829256838248088,0.381455567048835,0.00318687185903052,0.0333787278013915
"IS-PNS",1.35670412459889,1.67087974939911,4.82057509459031,1.44775602288964,1.15781260566387,1.87652274201355,0.753156503895926,1.87661564497245,2.09844329244073,2.60341043928542,3.33743719364315,0.429886431207088,0.855531917323354,0.563264359963958,1.71412708808406,0.82228304150958,1.40963413280766,0.700882700208907,0.37169497214636,0.990264482879868,2.34432207153793,2.72466171506985,1.48250930428583,0.291478718244642,1.13571415445091,0.402122975116072,1.48538134784156,1.01408601339448,1.34709986061578,0.796456875431253,1.21606985394614,0.322239222973354,0.764378999912314,0.222148341735875,-0.119018524513982
"PM-ZS",0.273457053728456,0.410741997542447,1.44775602288964,0.769085547161625,0.550338578994516,0.864100601398684,0.0034205485835305,0.816981100220916,0.720962631212654,1.24252895869188,1.10759994577651,0.275623860430251,0.286109343382182,0.102949413867357,0.56573705688909,0.135371629381165,0.468383099748594,0.140265520961361,-0.0473666826531699,0.32207763954151,0.819820677211274,1.02167953081378,0.391278233692968,0.194327974782873,0.501892895985416,0.211711390705374,0.565228425668929,0.287370068669139,0.508138438345559,0.363041116363871,0.547966622298196,0.171572579323739,0.280680042232426,0.074879579943358,0.0175885175849908
"PM-ZI",0.14937644035428,0.270145557483191,1.15781260566387,0.550338578994516,1.06974114284515,0.702753460215514,0.090325025181989,0.596508831611145,1.08484202173692,1.16375868972591,0.780610787148724,0.11387318591208,0.181607107876312,0.185478732250213,0.445641367712489,0.11046405832267,0.571335016219695,0.16968573272482,0.454321181143303,0.225409055520351,0.38938136669617,0.620571628030875,0.390165794079842,0.169446086842753,0.470381298174423,0.12531378328056,0.528016508154944,0.035204417472396,0.487711753125302,0.52942903875428,0.375621525632579,0.197747103674005,0.235714169525805,0.139006422501462,0.103027107572688
"PM-MT",0.145537181804767,0.313952159388934,1.87652274201355,0.864100601398684,0.702753460215514,1.51691148786871,0.09952449601071,0.861912141925477,0.791790113418468,1.39605500929571,1.30693052803848,0.267401424463595,0.345986131277588,0.260758832028934,0.79991870234453,0.178889965295045,0.511927879977022,0.0507822339919809,-0.0363059358975358,0.684167801034174,1.22168149413405,1.16799419689253,0.189807222612572,0.203323672383225,0.536558144824772,0.136984652559424,0.773585423003339,0.163342634176902,0.537326294085375,0.337728236872869,0.913090609821975,0.302890379445897,0.729791829229941,0.190440281395102,-0.104782019759151
"NLE-NON",0.438673518322411,0.236440947742278,0.753156503895926,0.0034205485835305,0.090325025181989,0.09952449601071,1.86340209363998,0.301414542837051,0.508469907004583,-0.615728996996179,-0.174331183953267,-0.29996997115497,-0.124212450347929,0.230822256791722,0.365288399207292,0.337524677408495,0.27657372740619,-0.0657926767144633,0.284364491037806,0.0953843096175849,0.332108307746051,0.687903406430689,0.100042179782225,0.345357809498377,0.313860339204668,-0.088929546820131,0.454676677273897,0.175392310071668,0.347724957197369,0.0217053056055722,-0.0535936336630584,0.196875436001496,0.133416417057947,0.257608543950446,-0.371456173426613
"NLE-ZS",0.68360921138551,0.603476374928626,1.87661564497245,0.816981100220916,0.596508831611145,0.861912141925477,0.301414542837051,1.37542669178025,1.29260373703172,1.57858469115103,1.45341894407041,0.342988704987771,0.291447471150936,0.12156100172729,0.804366277033207,0.372228798964948,0.763734146234356,0.396362174572426,-0.00624906019011577,0.592717102029379,0.88017958670865,1.36318097245889,0.401770077211316,0.347482217507287,0.705511427292259,0.2644077677145,0.763375526602148,0.590124508792534,0.856495132459341,0.266084830076708,0.415261314899309,0.15589976746122,0.407403171098693,0.227504979203338,-0.0763271527649994
"NLE-ZI",0.824905748623086,0.864805173619893,2.09844329244073,0.720962631212654,1.08484202173692,0.791790113418468,0.508469907004583,1.29260373703172,1.90382509465743,1.58681608465865,1.58301201249677,0.237734709384027,0.397776925273155,0.414909914466123,1.13459076335239,0.747309501914814,1.17717324391129,0.697694161386759,0.67888351212371,0.607707460111383,0.870935280663554,1.31248397593856,0.618983995239687,0.357155412588071,0.846928283169555,0.208799181447865,0.931470639140165,0.402822874710207,0.976554115421526,0.597201557000099,0.522947406617398,0.206112840990388,0.670069169203561,0.327461771362339,-0.0211702076830511
"NON-BR",0.820742438342624,1.14108839778087,2.60341043928542,1.24252895869188,1.16375868972591,1.39605500929571,-0.615728996996179,1.57858469115103,1.58681608465865,4.82890315509051,2.10569498589269,1.4097264277511,0.37317003720512,-0.375893635907678,0.0910896182474913,-0.527885811518703,0.432008924376353,0.20410373689918,0.0153962116593214,0.730369410028529,1.28388343829023,1.97919238879178,0.453951535475295,0.801655750818277,0.56658542817371,0.891926514252239,0.797180230700266,0.510060254806355,0.710734104385486,1.09612784859993,-0.029265942319633,0.0219350269548283,-0.269720486813637,-0.137491057390269,0.161753402764696
