"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.06532477381823,0.781434929127936,1.74737825938906,0.377682774273112,0.655287008664247,0.924548967467674,1.36884634841382,0.749712260635247,1.2746001481571,0.664670832796125,0.519503042978503,0.539927572932172,0.653842126572679,0.478754355483506,0.890811742067604,0.408208843683907,0.656318523969108,0.320088981743664,0.66530950699812,0.619560714143689,0.777920128854581,1.2450228179504,0.178293491171192,0.737211987362849,0.501908171730724,0.194738317648902,0.491199532273622,0.673808368004387,0.569870065127867,0.138607317608028,-0.162704249460347,0.593989634814985,0.484282467329355,0.339834506774335,0.0561105509215231
"IS-NLE",0.781434929127936,1.38942161837394,1.65916695141863,0.834687140344752,1.2485295291959,1.20844938399519,1.27012702788175,0.551154005040479,1.21248245517843,0.809488657547271,0.54151956315997,0.382624683477034,0.603180069528511,0.224617696996053,0.637593061894063,0.0570219171230877,0.500575132628976,0.100149588900072,0.683637159218481,0.682322899821427,0.881062462255973,1.25932988280697,0.100402105644828,1.19549898095517,0.627338497739379,0.295592236591344,0.556650387839139,0.683131370036106,0.512536540616424,-0.145996910401921,-0.199578842179592,0.570140459153371,0.099209065908954,0.252020034327741,-0.0954583620162105
"IS-PNS",1.74737825938906,1.65916695141863,6.74186177876529,2.29911292380289,2.87799626231448,3.60800916534814,2.90369038787205,2.69246713758322,3.68052335618013,3.64704204706872,3.62095495400409,1.15184682559582,1.12368504015755,0.883311445718175,2.37894985622669,1.13680370308049,1.33372364991291,0.582277819494297,1.23280343011654,1.53237177459672,2.27564078953304,3.3322598939765,0.777623113047845,0.758383080908491,1.66960688082115,0.0335478789701783,1.40947708136604,2.00534602045664,1.62045843441275,0.464829398669276,0.175809645192212,0.677518150779922,1.47683299010334,0.645291509580021,0.0499270634291726
"PM-ZS",0.377682774273112,0.834687140344752,2.29911292380289,1.80600286286934,1.78952210806946,1.93245689322041,1.39358143909749,1.40974488080033,1.71718986458473,1.73216231529782,1.03261225798146,-0.0110399145204769,0.562285283122372,0.410681588000557,0.853752611286014,0.442145246668576,0.702161916539687,0.348481896090978,0.503801452988413,0.385331314480567,1.15400420842801,1.78277283370239,0.160420777356769,1.52214025469396,0.538204020592968,0.0139900443130617,0.50927504596945,0.859418700078522,0.759372883619182,0.501992322080981,0.539217619814674,0.632837183536927,0.270667242691443,0.0333815043620718,-0.172779990490288
"PM-ZI",0.655287008664247,1.2485295291959,2.87799626231448,1.78952210806946,3.39728802652365,2.34129696907522,1.557519655504,1.45927764829763,3.10308647576308,2.01340433191976,1.12615673318147,0.514188005818331,1.16263134773144,0.45508562216757,1.14658117888438,0.269290433858978,0.266970869935335,-0.2840718380572,1.50179482666855,0.263996260632691,-0.293592347404423,0.310687375083751,0.222505064480066,1.61326200633789,0.926682257590213,0.156702774527828,0.885824795434529,1.09472270065741,0.659472285440328,0.460103833577283,0.185454937334501,1.10582363612636,0.246940241377207,0.406193479650927,-0.0681384008277056
"PM-MT",0.924548967467674,1.20844938399519,3.60800916534814,1.93245689322041,2.34129696907522,3.04908453345386,2.16019486246322,1.89567384416451,2.66067420804936,1.95308712787373,1.73439975395679,0.316185678843374,0.849138926656594,0.747448852748496,1.70165136195647,0.814043652929223,1.24876228697886,0.576567648914651,0.984406188081236,0.759374374733457,1.68384642216369,2.37507909350776,0.196697850664435,1.61630897535526,1.01884484994271,-0.0522738040459645,0.995474408542975,0.842448273014755,1.06176948278078,0.570975915573784,0.423749492688978,0.875411955850209,0.845968380740347,0.186045914298427,-0.0668880778248907
"NLE-NON",1.36884634841382,1.27012702788175,2.90369038787205,1.39358143909749,1.557519655504,2.16019486246322,4.31229244116467,2.0709717425825,2.83680999848471,-0.672312236444697,0.655166803871721,-0.20724058969146,0.97947803677555,1.34170854759861,2.31675829915065,1.58546989747688,2.05054374311691,1.73442849869223,1.13085793581544,1.17468619318015,1.94003867603288,3.01060144719162,0.189914213017606,1.46032746025475,1.23401094576906,0.16614827044267,1.0288423615308,0.981024210152064,1.22688776951012,0.464595997161574,0.947039198665719,1.08806550776403,1.17860551474806,0.546181646759071,0.0445583256268019
"NLE-ZS",0.749712260635247,0.551154005040479,2.69246713758322,1.40974488080033,1.45927764829763,1.89567384416451,2.0709717425825,2.27771426832403,2.56118387035303,1.13437067357992,1.5296531321889,0.189837272253347,0.763608548158538,0.51719089463726,1.3855303403008,0.71606551754514,0.979982062289186,0.290965075210375,0.442127091379036,0.775875422564842,1.25445294889847,1.93259258915985,0.216074508417152,1.12286160799357,0.942004541873737,-0.116725483616302,0.77770940830568,1.09722650148754,1.09156235589409,0.997348152335937,0.892513505481591,0.79235647018762,0.611378472255451,0.0395848854557604,-0.00252950000504892
"NLE-ZI",1.2746001481571,1.21248245517843,3.68052335618013,1.71718986458473,3.10308647576308,2.66067420804936,2.83680999848471,2.56118387035303,4.23652258353725,1.5386453938209,1.73686612151479,0.681786985454805,1.60116972954648,0.858563351185521,2.01375770315783,0.852266475870097,1.00240542954695,0.0757548338910232,1.72459268530687,0.873265125393143,0.530848858211606,1.29250406969384,0.256297583240324,1.63387847600107,1.43386088364411,0.126682495056468,1.24171747024851,1.43000722664146,1.15348872503099,0.976794383139925,0.793908247195521,1.4562154889812,0.746270435536794,0.343564182344549,-0.0154344983340044
"NON-BR",0.664670832796125,0.809488657547271,3.64704204706872,1.73216231529782,2.01340433191976,1.95308712787373,-0.672312236444697,1.13437067357992,1.5386453938209,11.0026309800417,2.32018398653734,2.70031116279131,-0.68283986096856,-1.08931393494971,-1.07011624212126,-1.42616380938868,-1.21903832071985,-1.03806484064175,0.372513311154995,0.728234869288219,2.06276558575947,2.74853495147081,0.258078562107542,2.23690920765805,-0.0798460559241474,-0.770404819676077,0.276065776276613,0.721220893469194,0.151292258440514,0.629900941615043,-4.94052668139913,-0.181390928053468,-0.715952576008136,0.0117712737701175,0.0585700213221685
