"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.201390999886964,0.0839754071456492,0.483475436755113,0.0736779487066386,0.168584292948834,0.148549395784457,0.263795289150844,0.172151810697597,0.277874831663746,0.258535445302113,0.0948197917664691,0.124201087739508,0.0934203494012456,0.0944723874076761,0.212393104110079,0.0758118456223705,0.0691811368403854,0.0399922221798946,0.10613932458093,0.0453202881371821,0.0606262407069298,0.102305898836897,0.0993309200136445,0.0736007257656006,0.111001982861349,0.0621399924509285,0.15838857860356,0.0717367206903807,0.0696587393150631,0.131477423198437,-0.123958629687693,0.134715111118441,0.0624125509678153,0.0369197847950464,0.0610814575316462
"IS-NLE",0.0839754071456492,0.438096511825943,0.616957104823341,0.340343452213885,0.508331221227477,0.408225494100904,0.133582993648159,0.170967186886508,0.430803975847659,0.377271054145811,0.411852142495707,0.0686961549097504,0.148321117801751,0.117708100809795,0.399889899791871,0.214230454243468,0.295205614693454,0.273100079154812,0.253457890906864,0.175613761574657,0.297698446778573,0.408313682202201,0.0963503304859879,0.235521668459454,0.308989888206451,0.0289596825416544,0.214189508460503,0.176525348879431,0.171937164537804,0.0631903367947541,0.34946200189351,-0.063070705917405,0.251206703963071,0.029210719269213,0.0940180501252237
"IS-PNS",0.483475436755113,0.616957104823341,3.93802242879897,1.68055277699131,2.3087425851283,2.08759728929522,1.55154431675186,1.81416212668361,2.48014589118537,1.84185960737989,2.17601981839206,0.324631597532162,0.804428817427244,0.842416806818326,1.94371519313087,1.07199347849467,1.18884916923477,0.527541079981364,0.668341822222069,0.547749963195572,1.53351488149195,1.29874363112391,0.924699454291393,0.443566520843601,1.21249461487625,0.130733708155295,1.03807082235927,0.326475274683539,0.576721385485223,0.491795099121687,1.28856202143299,-0.158875326464601,0.890977715993519,0.0913606089718498,0.275298805853159
"PM-ZS",0.0736779487066386,0.340343452213885,1.68055277699131,1.24049460615032,1.4035140296141,1.20718429424615,0.817086995555739,1.0455503993497,1.35039060757701,1.0661681396231,1.00222810456339,0.146881328272348,0.366684356998377,0.360159979417853,0.923953553787327,0.522291166683663,0.603400304519337,0.226973322108186,0.338002648535139,0.276162278321182,0.788150087323322,0.631178827365692,0.350779335141039,0.5704797591151,0.598897319634412,-0.0626876971644133,0.489840985341643,0.247332055842216,0.366787277421272,0.0585274072708667,0.730433962405579,-0.34975019896708,0.556641498141687,0.0530448683542078,0.148661391345039
"PM-ZI",0.168584292948834,0.508331221227477,2.3087425851283,1.4035140296141,2.54746082362356,1.71068308772569,0.90774646366911,1.25710760798565,2.42196440743815,1.37679124297854,1.46953949236458,0.0239938402857535,0.56759500749255,0.630221069989062,1.4269565560595,0.729060736372587,0.952788725183408,0.344746470299636,1.14580499552207,0.343121786714642,0.581071960806227,0.447990434779708,0.515943385040194,0.873749418795779,1.03681775621224,-0.0465040847809634,0.805098988205349,0.200312851319634,0.419408401210075,-0.0364754013921719,1.2416749832118,-0.507361472646277,0.724016517704832,0.0880884303754939,0.0949088544164701
"PM-MT",0.148549395784457,0.408225494100904,2.08759728929522,1.20718429424615,1.71068308772569,1.61055737502749,0.817177080594057,1.08433265456835,1.62391564266791,1.15650100885993,1.30541484931744,0.0921878802414002,0.532862675185435,0.592731760843511,1.2331469513909,0.684422596603491,0.783523333995173,0.329701268532404,0.54367121559143,0.397065701538352,0.93132714074253,0.684577449410015,0.357010505995447,0.571318550309228,0.764720036630836,-0.00608632370909275,0.669945693660355,0.102865757187251,0.356760073923289,0.136667402934631,0.98514328331902,-0.253788326637896,0.706626146987561,0.0682542449008911,0.116260717611342
"NLE-NON",0.263795289150844,0.133582993648159,1.55154431675186,0.817086995555739,0.90774646366911,0.817177080594057,1.92615354902748,0.911328401933814,1.19352106230253,0.11880740116174,0.406636069474041,0.336225617125284,0.410752011101906,0.25964218452696,0.526266673752728,0.23735850680265,0.174357588906571,0.0555398757177253,0.335838535465147,0.136374807832471,0.437112091749526,0.575937617428074,0.442236327481382,0.341995193033947,0.29584341468874,-0.0275180689027501,0.367529524271237,0.236978494317098,0.21876728211178,0.252815186378525,0.31458560827749,-0.247672206127942,0.281990559199899,-0.0252855024191715,0.192827977789566
"NLE-ZS",0.172151810697597,0.170967186886508,1.81416212668361,1.0455503993497,1.25710760798565,1.08433265456835,0.911328401933814,1.35360883782363,1.5042777892311,1.14022743968659,1.01173227450964,0.176322010537921,0.341178720932243,0.328850539457342,0.980173533883534,0.513400938930607,0.685614637093436,0.140622843890733,0.160371422747816,0.205143272326452,0.891520874253976,0.554827838039055,0.456509374678538,0.432811578301708,0.63480863168999,-0.0133576319753453,0.578890083297993,0.0388600502020457,0.333339815303046,0.043358681273273,0.704934190503212,-0.257726582057528,0.588044265290813,0.12690765958391,0.138104105921499
"NLE-ZI",0.277874831663746,0.430803975847659,2.48014589118537,1.35039060757701,2.42196440743815,1.62391564266791,1.19352106230253,1.5042777892311,2.68346683296889,1.42936911898973,1.54412587270071,0.0500501982426276,0.575117861872467,0.649553748988244,1.54135794029796,0.822572100521672,1.15261692964211,0.369188743478539,1.17587898945439,0.261811128766834,0.80597149516799,0.524146841835182,0.67765340929797,0.857146608101932,1.06732967606284,0.010997149835076,0.868669658743691,0.0828852472785743,0.479710415684743,-0.0916703094570147,1.23688770253411,-0.458663659509626,0.837665217881262,0.156168428160014,0.143476017906075
"NON-BR",0.258535445302113,0.377271054145811,1.84185960737989,1.0661681396231,1.37679124297854,1.15650100885993,0.11880740116174,1.14022743968659,1.42936911898973,2.97265254229126,1.21415384664422,0.209976641214853,-0.127478477741404,0.285978790611871,1.0497375229512,0.442096232808139,0.617949664657297,0.139519157723196,0.281808908647526,0.277042122911194,0.868879991912621,0.567551539859761,0.329180092871311,0.770938005440954,0.724158400902144,0.00924294450428587,0.689020921459166,0.293940445420441,0.394198239999702,-0.221934949419961,-0.412563024130197,-0.192868738369553,0.571238367940299,0.33411600940705,0.112519815517959
