"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.64639712822961,0.614726432580732,1.71244335570641,0.984541860438984,1.09361901837873,1.38338838835668,1.31074735742218,1.23227505156881,1.4912570122166,1.30734034100537,0.92941202275831,0.141451438358652,0.293633577118529,0.0170630469930222,0.837346395939749,0.442439013035774,0.777061857398525,0.526761680061057,0.365361994976408,0.335195767968858,1.46844793578148,1.72764547085029,0.309203113551181,1.07315197376036,0.898699981529439,0.177338928201825,0.77112492208248,0.345406329285504,0.522562092269813,-0.00229849243977037,0.546550104686967,0.428457008667939,0.8996659372178,0.494312761541794,-0.0122528163322311
"IS-NLE",0.614726432580732,1.22088673342519,2.24037516469994,1.5902334994337,1.57863970905475,2.05042305747968,1.81155529439158,1.30139908208421,1.60224127517009,1.6599338252746,1.24061394017369,0.578563991032192,0.69817501792043,0.194661839504932,1.29244700938541,0.810412725778586,0.910271277283035,0.691770715646894,0.403823576565802,0.34461760753614,1.93704369682911,1.6771123161341,0.434824087725095,1.30511876570574,0.976226865113632,0.271299475475244,0.811816720875087,0.506394943341194,0.539748697983846,0.667259150623829,0.134740193450908,1.14580237595906,1.34137625366059,0.545340265006682,0.137598781006083
"IS-PNS",1.71244335570641,2.24037516469994,6.80107578118184,3.9923332666194,4.39907400273821,5.87360104230097,4.29527717818781,4.00817207306675,4.92542124741951,4.95233317274755,3.08283306573028,0.545918332932865,0.655478966798233,0.0230835189267455,3.17035756474037,2.14857106135146,2.71259872459309,1.51335378969948,1.26822001290401,0.815324833536013,4.71283271200629,4.90470627115401,1.00103306169487,2.72052938521566,2.89264489118913,0.414887587197162,2.21564776374465,1.519514421732,1.90601172121286,0.594599253781684,1.69379634763146,1.61122184426423,3.18856127621055,1.187177264334,0.0605842594736298
"PM-ZS",0.984541860438984,1.5902334994337,3.9923332666194,4.0323656979809,3.2787224661249,3.5891849341292,3.1522274133868,3.62344749867713,3.33370745680776,3.7669480269219,1.51232572222682,0.4795296878936,0.538914272537792,0.521380543194472,2.16821979338725,1.21520170866844,1.33082529861559,1.06572454660936,0.341493209532281,0.272904819666783,2.81616592560155,3.0303535683503,0.695519948558133,2.41960711110161,1.78314709500919,0.0822598566597383,1.47538627440149,1.07278034345312,0.676583269323997,0.172392558302154,0.648677571357776,1.17383911226987,1.85288845655832,1.09445732007811,0.0765204346776029
"PM-ZI",1.09361901837873,1.57863970905475,4.39907400273821,3.2787224661249,3.87406123604953,4.19976940841164,3.41514411933052,3.1397216237794,3.94735807512416,3.3640501098891,1.7182207106233,0.438296980481064,0.566173296225631,0.209369388446831,2.27407901466555,1.37236255275871,1.78681651154027,0.530683547252517,0.867310607689384,0.533052254983098,2.74426821569675,2.4993409017655,0.807061720448238,2.50142906695602,2.00084729259095,0.452647189799,1.77996235269308,1.05040015645181,1.29581374098667,0.365490332106107,1.19195852121921,1.16188980688306,2.20587003348802,1.08922458161306,0.0546603805488139
"PM-MT",1.38338838835668,2.05042305747968,5.87360104230097,3.5891849341292,4.19976940841164,5.74665830303197,4.00455094318113,3.40710305133353,4.40302576941014,4.51446008358332,2.4675872330633,0.732019119430189,0.747490791090496,0.0489426162177628,2.93641011602028,1.79935984141323,2.24737990814833,1.08533825661075,1.10243435975614,0.636220708028558,4.22966161340327,3.96577099684828,1.08535606176396,2.92341697337138,2.56466701950916,0.338461268899982,2.02316824878951,1.44791633945261,1.67728194335112,0.716536276486472,1.57794246884067,1.54412668452928,2.6204157156415,0.926634351956778,0.200021800705651
"NLE-NON",1.31074735742218,1.81155529439158,4.29527717818781,3.1522274133868,3.41514411933052,4.00455094318113,5.7056121268538,3.64573746779386,4.23550294734073,2.34583497446469,1.86557989561505,0.779850016478389,0.614173290598158,0.128071877227342,2.46610974437462,1.33823543770094,1.59937975780027,0.951464516420886,0.772861119664159,0.399237335053346,3.52578681374605,2.66634780363888,0.804841760230043,2.77538331577167,2.24332344154923,0.290235235472816,1.82508104496539,1.00913036504098,0.980668030060566,1.37473948342022,-0.483655181848476,2.67452991187684,2.6763742738266,1.32621480005619,0.376889402068831
"NLE-ZS",1.23227505156881,1.30139908208421,4.00817207306675,3.62344749867713,3.1397216237794,3.40710305133353,3.64573746779386,4.0876099391859,3.92511097922596,3.87502186048876,1.67861570493087,0.243095752670104,0.308045830595285,0.350374192128595,2.04333187074016,1.10994961371539,1.41762721447608,0.902646119591309,0.431775557299822,0.277192434509491,3.11031484478901,3.47946700929184,0.693452552618568,2.7893165519443,1.96708489081533,0.118293144175989,1.66160205186571,1.08187328994869,0.846816790165836,-0.116616081730499,0.574837286660992,1.06971951262518,1.95078745427808,1.27058105910664,0.102085994719004
"NLE-ZI",1.4912570122166,1.60224127517009,4.92542124741951,3.33370745680776,3.94735807512416,4.40302576941014,4.23550294734073,3.92511097922596,4.8874305837077,3.96938722519559,2.30795723987402,0.383149211925752,0.646579167653434,0.298294479876007,2.50684165020735,1.49928661962171,2.14750068253605,0.718785901673842,1.20568512414451,0.697498690507038,3.54034731337891,3.68106429032696,0.938198224154759,3.18535748479962,2.3141297130788,0.46136566063958,2.12420444577118,1.29380174182792,1.6678602805449,0.0831884513981527,1.26361712618402,1.20702926097948,2.5460834065603,1.41989428430743,0.125020759326763
"NON-BR",1.30734034100537,1.6599338252746,4.95233317274755,3.7669480269219,3.3640501098891,4.51446008358332,2.34583497446469,3.87502186048876,3.96938722519559,6.50360474101377,2.37949852310277,0.543300853468256,0.927733042954805,0.789987685988022,2.55302048422315,1.67743570641689,1.86139401157917,1.13660261277498,0.832793528529288,0.306454821150276,4.28909164993621,5.32142749469464,0.97694375115026,3.39391968987385,2.04399206446608,0.270618403161844,1.72617280597617,1.45458498830731,1.40170197416002,-1.08483364864492,2.07610062342704,-0.184975972979467,2.00165385602731,1.07135782101621,0.100642821679547
