"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.542317840702291,0.290096099260975,0.965983949474963,0.475358449210122,0.324667797879792,0.496300391095302,0.721813536851885,0.694265265183169,0.650820098574469,0.210107042636805,0.397890391708326,0.0111222421512625,0.162695120083554,0.153536159535833,0.368644532003071,0.262764062638635,0.310036110820945,-0.240380770802844,0.148611669021396,0.0793978368326777,0.363153274651857,0.271710556234946,0.110967090010667,0.242481072061117,0.27322303727775,-0.00903697435835783,0.237317226075318,0.23011951505201,0.350264235907358,0.00456807288415152,0.516562599226688,0.0292494123275486,0.293982393122326,0.300058685265972,0.148205547699859
"IS-NLE",0.290096099260975,1.10518519488961,1.49549217391187,1.071401442509,1.03331177165667,1.24273967478094,0.547644390901979,0.503999501824513,0.695857306502339,0.319640835980059,0.499871155778212,0.0155035654657371,0.311560356745142,-0.0835467497418089,0.315348765538153,0.0844135212675351,0.502547405305016,0.116190681573331,0.161117320112346,0.254819227885199,0.628644315973717,0.86964905510071,0.0764995767861089,0.456638438758495,0.449604569232986,0.0620856620977851,0.458170209077623,0.43381496427201,0.542806787629389,-0.0417606697678681,0.550732151987857,0.0220028031596785,0.26482800812299,0.332109230623598,0.130906975842644
"IS-PNS",0.965983949474963,1.49549217391187,4.82238942968449,3.04956671561131,2.87415664548316,3.40678961587675,3.54240806823997,2.81525138778085,2.87525045646196,0.660241641209668,1.85261911510189,0.193145819550135,0.598420109266228,0.068394772014412,0.919121377556231,0.516646323882481,1.0463718730221,-0.139916166966193,0.330205221422258,0.492041002842658,1.4912844753013,1.99157871217134,0.143334793198724,0.358028982195033,1.1667589795038,0.00256843725390701,0.896111873129788,0.87166598355855,1.37497349513611,0.87246358243162,0.723542594115159,1.03830872827747,0.79536541118728,0.534444817786681,0.212036938584395
"PM-ZS",0.475358449210122,1.071401442509,3.04956671561131,3.3580122643038,2.61647956887244,2.6488860776745,3.08289505752499,2.5741875897389,2.19090227613513,0.444775800246747,1.14435836570252,0.275995491259338,0.559471419083879,-0.0412967110043361,0.632754622077897,0.240443867178913,0.79853461714493,0.0806257886452762,0.40370772926029,0.347281072244681,1.33300947619872,1.72352034572688,0.0915477564489235,1.19373712400453,0.838133339529612,0.123229983844758,0.802257251717556,0.563548093284255,0.941543149698055,0.633835852247921,0.074438120309828,1.13161682779982,0.740926303243564,0.594712239149729,-0.0839231854853383
"PM-ZI",0.324667797879792,1.03331177165667,2.87415664548316,2.61647956887244,3.16447811158321,2.69894038696622,2.42649790097242,2.02632229859472,2.62015036506745,0.5971787644479,1.1196917185814,0.251116978614138,0.607263311366032,-0.146031560004642,0.521702606137319,0.24787019974244,0.853577686185619,0.0141292679099392,0.222248640674201,0.40370080570764,0.890720680462847,1.29091371204707,0.155880922079058,1.21925721374361,0.857419411128597,0.17936387825984,0.741062018459456,0.452899551787886,1.11540110457956,0.773844861593688,0.500767199547685,0.977025620204753,0.683849849602957,0.491946340209186,0.077444324536224
"PM-MT",0.496300391095302,1.24273967478094,3.40678961587675,2.6488860776745,2.69894038696622,3.09207214809043,2.76845004313604,2.18858506212237,2.33357848797892,0.552215112719377,1.28050329608093,0.210355461517036,0.528992811230311,-0.121841089322721,0.603493800162567,0.320246438424491,0.93425840673857,0.0399818681539888,0.105097503183615,0.346617380504957,1.21363703470081,1.59210636941151,0.218909866599776,0.834855081956973,0.915551602416624,0.152710115893123,0.76732519513491,0.692255056409688,1.15424607418396,0.724170798431527,0.497558997996222,0.839594816221266,0.691030099469191,0.348797981447376,0.119801148386668
"NLE-NON",0.721813536851885,0.547644390901979,3.54240806823997,3.08289505752499,2.42649790097242,2.76845004313604,6.01093454803078,3.29549103796568,2.67765779318415,-1.12615197595427,1.3909074248826,0.223381905856333,0.207671848619269,0.0575178212341671,0.712989031259032,0.326540117356725,0.746622641746098,-0.493685013835134,0.100859633110629,0.0445327527286061,1.34153571861055,1.7840354602776,0.230968356540809,0.625054449252627,1.12165593497444,0.055468232881668,0.855302284562998,0.222043547938865,1.07342063937845,0.963979052007288,-0.249517974627959,1.37887238029317,0.729514066066022,0.690194548061099,0.112968248522958
"NLE-ZS",0.694265265183169,0.503999501824513,2.81525138778085,2.5741875897389,2.02632229859472,2.18858506212237,3.29549103796568,2.87438856501559,2.38559414319621,0.292448274026721,1.04685011650209,0.0907420299565401,0.213983875299749,0.122932467046354,0.732102642713946,0.426789802323597,0.639696719563307,-0.198751975081968,0.146230193162271,0.190572936465507,0.968779596313144,1.28862317150281,0.159162658922805,0.730917045882788,0.810675063040481,-0.0135689866772457,0.580649629732251,0.404274284277536,0.825831201249124,0.690339934862614,0.125819874972325,0.964548147027334,0.682495873941388,0.454182006730808,0.107723950784438
"NLE-ZI",0.650820098574469,0.695857306502339,2.87525045646196,2.19090227613513,2.62015036506745,2.33357848797892,2.67765779318415,2.38559414319621,2.8456286529129,0.486328921163767,1.20959070014021,0.145858693844676,0.379366594616733,-0.00906943717835543,0.669513908649215,0.464283686271633,0.808171262383065,-0.233684551930719,0.318352485282033,0.297635567369873,0.682968819194004,1.01195564011317,0.222190979227576,0.766258474808419,0.907561271469193,0.0613296187742634,0.630982157536687,0.344661266301023,1.05020130690856,0.805223133492223,0.617943849506441,0.881794388701352,0.664757708402277,0.518460450496712,0.203366873826247
"NON-BR",0.210107042636805,0.319640835980059,0.660241641209668,0.444775800246747,0.5971787644479,0.552215112719377,-1.12615197595427,0.292448274026721,0.486328921163767,3.01553592454953,0.201076358878785,0.583813914993781,0.672286808931984,0.425262565289184,0.535421268152536,0.69425620829112,0.411065722887005,0.330282687560979,0.127375346418271,0.296086266536142,0.469457502161303,0.528241266956897,-0.0471908881150756,0.787268787457267,-0.0247083079493286,-0.0254696304516281,-0.0271991627905122,0.665212028031121,0.351951573700838,0.675701464931401,-0.745504070684103,0.69829365669538,0.720316601679068,0.231398540849806,0.128506304390207
