"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.624980680715875,0.406406148980836,1.46603119189107,0.849686675035198,0.778663065273913,0.771815888521286,1.08949247622893,0.98322329362599,1.19729254166406,1.14861890848048,0.616362091164328,0.395819130030333,0.585817831913174,0.47754110096556,0.752295663992421,0.465499239944954,0.59472251196266,0.775208681075881,0.59570490918811,0.510754669816596,0.70247106095339,1.26299561545041,0.231937872957471,0.724847693581795,0.280991033309146,0.0380784035310062,0.432480989149142,0.471568751504662,0.460809414611961,0.315587588993392,-0.166867360745191,0.149528703101464,0.62781760545758,0.327365411847237,0.376251370708499
"IS-NLE",0.406406148980836,0.579345594390884,1.29901722621083,0.816214298645593,0.887328381441115,0.779181176526257,0.797525148423222,0.675225403638574,0.950789595236376,0.834881910103977,0.465905997755818,0.196386878241829,0.331587521759775,0.322821018846877,0.563371260701738,0.321993149800978,0.368407537845865,0.56644297131384,0.443710359514959,0.434155873526105,0.375677105030579,0.78654738279216,0.110184371448201,0.514878370266645,0.262862023512744,-0.035079650938522,0.36218260838172,0.267576258253628,0.242899698248578,0.287788810703491,-0.146822104325693,0.0924669023133477,0.538255434558785,0.249838565954934,0.305621981666532
"IS-PNS",1.46603119189107,1.29901722621083,5.91654945442834,3.74104017650861,3.83683954317942,4.02277534187692,4.33542590266779,3.80041565220215,4.56796671290566,3.35739288561615,2.23858830994045,0.834488615594843,1.68841417478228,1.2773816160123,2.04252024085664,1.01650675636667,1.77218933141335,2.1192443981762,1.64766346723302,1.43561985539294,2.44304648117363,3.83228715069361,0.640331884990351,2.36877912002028,0.824847193349705,-0.0675594418416645,1.52010662463386,1.1104551765408,1.19768305896223,1.06616809220788,-0.411994766507712,0.333348122873365,1.53162933699264,0.781325714518537,1.19630630959995
"PM-ZS",0.849686675035198,0.816214298645593,3.74104017650861,3.60299469212366,2.79133742692536,2.79073982588685,3.04676532674922,3.20922849377703,3.00117952425371,2.2289283590311,1.33621356364625,0.380959117810856,0.912476505028781,0.647459641668019,1.02756152425192,0.532598779117748,1.17118598306188,1.36172260105562,1.09662211404294,0.689046883786609,1.63964338189377,2.54415129717196,0.493756512191088,1.67643636417161,0.5823209974085,0.0038514317605455,0.826472766051331,0.489818915789039,0.809895584786721,0.545598383779648,-0.317218995791905,-0.105864237119622,0.734699486422832,0.435892152359792,0.796564273599724
"PM-ZI",0.778663065273913,0.887328381441115,3.83683954317942,2.79133742692536,3.32900408490171,3.24716755136692,2.85283937844242,2.57254701305741,3.46677059262927,2.28682677152413,1.31710946755239,0.345172350525461,0.915044755755042,0.616322951395473,1.14025592671416,0.497728611276683,1.13422072501523,1.33512563518868,1.20193036936939,0.967737677535376,1.40009168473871,2.16922761383615,0.542094724159835,2.06253905057114,0.517717339122159,-0.0141553517552621,1.00486610797994,0.791818386282809,0.705488336391698,0.658534434558327,-0.375147603540631,0.195217658356089,0.766081563368131,0.401596259068096,0.661816702606165
"PM-MT",0.771815888521286,0.779181176526257,4.02277534187692,2.79073982588685,3.24716755136692,3.60477664240988,3.01333435113072,2.71977980436097,3.49681237292134,2.18135579981849,1.35363028657806,0.316594372659646,0.949974240809161,0.639978161005106,1.10388591497081,0.452103604572311,1.07957222764756,1.17412563581732,1.00993568521566,0.865283157600572,1.63581592614784,2.31348971526643,0.611979149101237,2.0348682417025,0.538460483025618,-0.0206156727855706,0.976489446665769,0.896099100344066,0.651276826735224,0.503754638748459,-0.112294465741628,0.0545364232911531,0.680077002867534,0.364770883473926,0.601404716537001
"NLE-NON",1.08949247622893,0.797525148423222,4.33542590266779,3.04676532674922,2.85283937844242,3.01333435113072,4.97679246264763,3.41011624239393,3.59292166948609,1.31584621732302,1.50338126803446,0.715968808564504,1.17647636080628,0.866682135699042,1.61018630592765,0.802946483435976,1.36152756331042,1.84375835647026,0.961653635181601,1.01978210171177,2.00782577950647,3.17628176870199,0.52261415819389,1.86760585441042,0.839367579177408,0.0900320659801994,1.1763147714026,1.02333218842417,0.896961557198476,0.841913083283992,0.0414215342385859,0.384542282964871,1.3380030851747,0.631352472271511,0.783334177621557
"NLE-ZS",0.98322329362599,0.675225403638574,3.80041565220215,3.20922849377703,2.57254701305741,2.71977980436097,3.41011624239393,3.28443254559817,3.18718416847776,2.09917288858795,1.44939780736245,0.518301393906662,1.06312927645069,0.750818477497572,1.20726019009459,0.620645608210784,1.28278396641623,1.35987626812031,1.03716882923447,0.78801844514085,1.84372074075804,2.69681549734497,0.543552269166211,1.71911462282401,0.631035896461461,0.0474155285617465,0.91819495895134,0.662359371042536,0.891752787550566,0.560897755124487,-0.182160939797645,0.0514306181882161,0.854172777843139,0.522094100124204,0.750263809585956
"NLE-ZI",1.19729254166406,0.950789595236376,4.56796671290566,3.00117952425371,3.46677059262927,3.49681237292134,3.59292166948609,3.18718416847776,4.17917036412723,2.8294380471741,1.74548913260513,0.672072116928163,1.36831904168646,0.978114897649196,1.63708793918154,0.780915023909313,1.55290133431015,1.74570175495175,1.5327626901272,1.292681721289,1.91005939779118,2.97593590064439,0.709331974803348,2.42971805222502,0.624988302028892,0.0386907480698891,1.28893783250362,1.1432306069318,1.04409266396879,0.811689974578657,-0.315785061019088,0.348861856881954,1.13343848825157,0.616010557004644,0.845294696575353
"NON-BR",1.14861890848048,0.834881910103977,3.35739288561615,2.2289283590311,2.28682677152413,2.18135579981849,1.31584621732302,2.09917288858795,2.8294380471741,4.55852340502403,1.46012038262127,0.757453863443331,1.2960141095194,1.14813729677035,1.39075681957186,0.814825907287444,1.31002299083675,1.4125261332372,1.63995194843569,1.19711290384569,1.38804148771171,2.74984155709911,0.494844078690778,1.97519690504769,0.301595210879408,-0.0283036552191978,0.865671951849173,1.01422690818619,1.12951524300543,0.941088366519679,-1.68061076940626,0.329140274130061,0.841535270846867,0.59840911585924,1.00481161964413
