"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.465512499432576,0.328029034271244,1.40444958844505,0.789363671544388,0.870248733996178,1.09538726563242,0.989120499791381,0.977284994866441,1.12697356516438,0.529441328511889,0.42164223532662,0.106249316520641,0.292737578967713,0.0965325743530413,0.461074083126949,0.152987929199644,0.317136294188849,-0.0920133583089373,0.159498481268677,0.0829827375012161,0.62624710633452,0.490460931964627,0.179220010250343,0.609009683794501,0.517562050328611,-0.0198659328977179,0.433498838801296,0.235101803084722,0.311313545190908,0.180407962727253,0.130915696074537,0.391697939778933,0.341044054532768,0.338712890116617,0.100259475369484
"IS-NLE",0.328029034271244,0.78336632596562,1.68444225070161,1.21174037560391,1.1940221225457,1.41402554519585,1.08421994908138,0.94934547067643,1.13019885478325,0.730627046552051,0.61569397375096,0.126568602975595,0.392197087024478,0.0928818207810884,0.505075183523114,0.159849021409041,0.437394392230507,-0.189681642825452,0.264054919142912,0.189263029214732,0.97245372542787,0.727617279881069,0.155752802871436,0.738459995786514,0.580078599008946,0.109708147362521,0.499169020284335,0.435355431566583,0.460608196296561,0.177654779512144,0.319787714930276,0.418968177647173,0.340822891035637,0.372816833827439,0.100135071320325
"IS-PNS",1.40444958844505,1.68444225070161,8.30929832134196,6.0995817725248,5.91449011120721,6.89453720439784,5.69698674175259,5.88048405709959,6.07171022826223,3.89644386706181,2.46662698332944,0.47457925697941,1.38182265203216,0.617507969201527,2.45297673526615,1.28984867052019,1.68332760692273,0.10868098615781,0.985909784821898,0.591447323748266,3.56722741124601,3.16434786600116,0.55778865321575,2.42823621094766,2.61233675817463,0.263070800095359,1.95763327054953,1.49009986345586,1.53329711504555,0.893243596586211,0.917409962488616,1.54206886471944,2.30154625799306,1.71859775394337,0.602768743222082
"PM-ZS",0.789363671544388,1.21174037560391,6.0995817725248,6.18718069460035,5.42968520938793,5.87492631491442,5.10894779380225,5.50909851755724,5.20083218605962,3.1799387407685,1.60553504351974,0.494126588635103,1.03633103676218,0.274263289650356,1.90480796219439,0.985807942951007,1.28557530109592,0.128423546890143,1.01330191314989,0.479981714431675,2.81794336274666,2.25726097790325,0.650993160557532,2.6709175733639,2.04450128133816,0.259522127867311,1.66286732120091,0.944578856885095,1.18542698877419,0.806772750143024,0.686767166852506,1.39360038643211,2.19276803475889,1.61950563965422,0.476865390463775
"PM-ZI",0.870248733996178,1.1940221225457,5.91449011120721,5.42968520938793,5.85661702734104,5.68650391094379,4.97019000776604,5.07372616888042,5.58861578833063,2.84178924231594,1.38165041653143,0.442266775044088,0.966513155696203,0.140076043137364,1.69660728029335,0.781974666911305,1.18368555952408,0.0520250763594828,0.952117571569612,0.262931788060373,2.52597382936923,1.55142968647849,0.610595031836706,2.8060840305789,2.11538365433058,0.334807113083326,1.57340701052898,0.876380268676679,1.03183610620804,0.602557900883793,1.12865460783384,1.11543165238549,1.83115492758949,1.35038066630796,0.45518801646821
"PM-MT",1.09538726563242,1.41402554519585,6.89453720439784,5.87492631491442,5.68650391094379,6.66515821726596,5.12326992326824,5.52552376180206,5.7038567883368,3.73286738988523,1.97944016961631,0.472982174483548,1.27662492977175,0.516672369100765,2.2553785424779,1.13567859633013,1.5935472588757,0.00777481239195486,1.0350481681673,0.516427779151817,3.33539908951028,2.6218115446886,0.846544903297921,2.89891334286636,2.40471722051803,0.253706742185906,1.93107359483653,1.20287216410954,1.43377141404398,0.826904796582152,0.998807897900272,1.54949946853965,2.28583063251063,1.64412134004539,0.511003913536028
"NLE-NON",0.989120499791381,1.08421994908138,5.69698674175259,5.10894779380225,4.97019000776604,5.12326992326824,6.82545958588006,5.14897293426655,5.13042046968388,1.41151010448272,1.14054148582178,0.315459284953374,0.571942564895047,0.120182774403416,1.83396497405894,0.764324364195613,1.01468661149985,0.295058233205109,0.593257533369253,0.292764683286085,2.67699050463293,1.95225585454398,0.549476990574215,2.79839025842759,2.09428714984295,0.251953943250816,1.72488071910014,0.804077780861025,0.798012312721068,0.635262906185336,0.519208885916492,1.18607880580761,1.93540935608041,1.39500945114317,0.428114492984558
"NLE-ZS",0.977284994866441,0.94934547067643,5.88048405709959,5.50909851755724,5.07372616888042,5.52552376180206,5.14897293426655,5.52923147312833,5.32941962167036,3.0979285743789,1.47293344489725,0.505805698414442,0.959217250544457,0.250947081176128,1.8602101576706,0.895646444015627,1.16836066100608,0.121118549739672,0.728873662252672,0.418326477662614,2.63589750094972,1.99934609222208,0.662335089791099,2.73430266497049,1.98974970508895,0.157207612112523,1.63349947257619,0.930153166009234,1.04183127190603,0.851814454165369,0.400012489072817,1.40545872336218,2.00942917641062,1.46050829786056,0.429304895295544
"NLE-ZI",1.12697356516438,1.13019885478325,6.07171022826223,5.20083218605962,5.58861578833063,5.7038567883368,5.13042046968388,5.32941962167036,5.88624201640905,2.95662653290342,1.58327873555011,0.500362392280013,1.11441995489955,0.250196496670157,1.87821652163763,0.832589249264093,1.29210649195057,-0.00832258291274836,0.988029763357933,0.33165064093963,2.59807941115869,1.59422546886294,0.712181378206056,2.95924708628829,2.13241759826833,0.191263995493075,1.70586314683162,0.898202617674992,1.12868547040304,0.778982131636834,0.787804073168448,1.3814664572396,1.81878145546003,1.39808215900476,0.438825240362169
"NON-BR",0.529441328511889,0.730627046552051,3.89644386706181,3.1799387407685,2.84178924231594,3.73286738988523,1.41151010448272,3.0979285743789,2.95662653290342,4.84505532914556,1.49382089538962,0.774777554647629,1.36871806277262,0.7806233213345,1.24610655724514,0.855278964958653,1.01459745372547,-0.125781378220404,0.53318475277713,0.287977073577148,2.00208146674807,1.82140538870859,0.510010669243198,1.44698782539454,1.15117632901836,0.253888331550498,0.826916246106986,1.15662713982091,0.905597392001209,0.660769875158256,-0.317461015793532,0.903369139353899,1.25400205790523,0.809520044739697,0.254104864301436
"NON-PNS",0.42164223532662,0.61569397375096,2.46662698332944,1.60553504351974,1.38165041653143,1.97944016961631,1.14054148582178,1.47293344489725,1.58327873555011,1.49382089538962,1.37586200338915,0.285467973222595,0.845544099781901,0.491728814375885,0.934802236834662,0.514549239008115,0.727375944290907,-0.172287583552323,0.504476366751596,0.313042396799285,1.10170718979105,1.04008744059383,0.217335803524808,0.419084228487443,0.785592094090721,0.0957294445606359,0.633941929395278,0.457102477561967,0.742420131616126,0.493269265455889,0.166019274971662,0.804444373844777,0.677252968115533,0.704092463747141,0.236674684919656
"BR-PT",0.106249316520641,0.126568602975595,0.47457925697941,0.494126588635103,0.442266775044088,0.472982174483548,0.315459284953374,0.505805698414442,0.500362392280013,0.774777554647629,0.285467973222595,0.557359303750923,0.492390154557022,0.0553346453449843,0.0959477221841008,-0.041203396114139,0.0553898638645358,-0.170490247795268,0.074386734687261,0.0398802742089728,0.288057365478688,0.0280718685853197,0.123656875701117,0.353590892408986,0.147591279619164,0.0883689981639837,0.111536510193154,0.112702681432612,0.103520124110767,0.197435124569017,-0.0937026004889823,0.235850322596311,0.196164576219202,0.22603007054865,0.135723839746883
"BR-APET",0.292737578967713,0.392197087024478,1.38182265203216,1.03633103676218,0.966513155696203,1.27662492977175,0.571942564895047,0.959217250544457,1.11441995489955,1.36871806277262,0.845544099781901,0.492390154557022,1.22375249327226,0.78919721735579,0.875509156178847,0.577305519905255,0.678089383095777,-0.190060239757735,0.374519982040113,0.238045672247219,0.700548168298498,0.629134556497909,0.206111825724057,0.654747165116918,0.452630918047569,0.153282591504589,0.451627630173684,0.347986288117207,0.66958662970227,0.483534483487084,0.132285902746769,0.891427441747611,0.687728178156904,0.673345080286611,0.171230314339537
"PT-APET",0.0965325743530413,0.0928818207810884,0.617507969201527,0.274263289650356,0.140076043137364,0.516672369100765,0.120182774403416,0.250947081176128,0.250196496670157,0.7806233213345,0.491728814375885,0.0553346453449843,0.78919721735579,1.12959271343458,0.989530585402691,0.864623489158316,0.530275304231407,0.273295383898235,0.151409292353315,0.186692820647307,0.246932286438821,0.781082435290353,0.0564267379926682,0.116088471851171,0.156271966009876,0.0882258310056599,0.249868856844555,0.333333154788292,0.459281621989057,0.19700240599901,0.0819375114947608,0.477140108891247,0.684532899665798,0.487823430480283,0.0565125687298393
"PT-BA",0.461074083126949,0.505075183523114,2.45297673526615,1.90480796219439,1.69660728029335,2.2553785424779,1.83396497405894,1.8602101576706,1.87821652163763,1.24610655724514,0.934802236834662,0.0959477221841008,0.875509156178847,0.989530585402691,2.07136556373923,1.39763679880342,1.05320184895806,0.455810368983394,0.396381751010994,0.294246604846961,1.15067257705666,1.30050530600596,0.313783859320997,0.972264551520039,1.19037572870662,0.181759407433951,1.0714708384091,0.516573770822573,0.788689704956815,0.313037796112775,0.54349948273684,1.03204939446133,1.82993548525967,0.895383090354665,0.160489103850813
"PT-EAM",0.152987929199644,0.159849021409041,1.28984867052019,0.985807942951007,0.781974666911305,1.13567859633013,0.764324364195613,0.895646444015627,0.832589249264093,0.855278964958653,0.514549239008115,-0.041203396114139,0.577305519905255,0.864623489158316,1.39763679880342,1.28861687254141,0.787215081419436,0.542017206177844,0.293571041187138,0.218426877126203,0.554589746116265,1.0296921284154,0.0718855381345026,0.256056685032253,0.560567620210699,0.12132825077054,0.434372052279392,0.370734782044052,0.506724000141301,0.286347575062797,0.171122545803743,0.613824199753521,1.40205489758861,0.442294667977908,0.00639078439418811
"PT-ZYGI",0.317136294188849,0.437394392230507,1.68332760692273,1.28557530109592,1.18368555952408,1.5935472588757,1.01468661149985,1.16836066100608,1.29210649195057,1.01459745372547,0.727375944290907,0.0553898638645358,0.678089383095777,0.530275304231407,1.05320184895806,0.787215081419436,1.13116441774747,0.218912283764414,0.413345916725353,0.316577902949989,0.908987493929106,1.05702294054821,0.173632812428248,0.549271300583785,0.741453567726756,0.137960502997619,0.640122939972972,0.228575032641674,0.865667785597339,0.400031086120363,0.295972196321881,0.729950577389687,1.00070092982552,0.428565265014905,0.122539584783492
"PT-TSP",-0.0920133583089373,-0.189681642825452,0.10868098615781,0.128423546890143,0.0520250763594828,0.00777481239195486,0.295058233205109,0.121118549739672,-0.00832258291274836,-0.125781378220404,-0.172287583552323,-0.170490247795268,-0.190060239757735,0.273295383898235,0.455810368983394,0.542017206177844,0.218912283764414,1.33528020681739,0.0345227245178935,-0.0883243349798303,-0.289386329129752,0.681541904834175,-0.0671650855849282,-0.396806911320614,0.0408473299430572,0.0855542675655007,0.0331730112266508,0.197468486109248,-0.0811447410295739,-0.256267535141382,0.335868740918927,-0.450855870259264,0.680115158723028,-0.148903195259645,3.79686461892637e-05
"ZS-ZI",0.159498481268677,0.264054919142912,0.985909784821898,1.01330191314989,0.952117571569612,1.0350481681673,0.593257533369253,0.728873662252672,0.988029763357933,0.53318475277713,0.504476366751596,0.074386734687261,0.374519982040113,0.151409292353315,0.396381751010994,0.293571041187138,0.413345916725353,0.0345227245178935,0.750807588707428,0.00937301831779637,0.354996428691739,0.252019146044807,0.190602733729926,0.335553253894074,0.32003936283481,0.0178375903205676,0.294838038190613,-1.25982715870964e-05,0.326817045019597,0.230459722304671,0.069734349166497,0.417881875892013,0.383320364120986,0.310281752807587,0.0586597459359815
"ZI-MT",0.0829827375012161,0.189263029214732,0.591447323748266,0.479981714431675,0.262931788060373,0.516427779151817,0.292764683286085,0.418326477662614,0.33165064093963,0.287977073577148,0.313042396799285,0.0398802742089728,0.238045672247219,0.186692820647307,0.294246604846961,0.218426877126203,0.316577902949989,-0.0883243349798303,0.00937301831779637,0.44705259062707,0.415175170448796,0.569744223984805,0.0143808009844339,0.313861859453342,0.071300385434699,-0.0255305404758304,0.194426073738826,0.131531918401277,0.313680386281903,0.225237376381556,-0.0995978898188985,0.340414708825573,0.344044121391646,0.235753022961676,0.0253192988246887
"ZI-ZYGI",0.62624710633452,0.97245372542787,3.56722741124601,2.81794336274666,2.52597382936923,3.33539908951028,2.67699050463293,2.63589750094972,2.59807941115869,2.00208146674807,1.10170718979105,0.288057365478688,0.700548168298498,0.246932286438821,1.15067257705666,0.554589746116265,0.908987493929106,-0.289386329129752,0.354996428691739,0.415175170448796,2.3766717502142,1.67391466449397,0.393496327774839,1.67121179174864,1.26888315004405,0.124084277916508,0.999584936506323,0.668789094335437,0.791280366024369,0.415136643420943,0.571230270762274,0.781113619237515,1.28005986764537,0.844664931678973,0.25769687642943
"ZI-TSP",0.490460931964627,0.727617279881069,3.16434786600116,2.25726097790325,1.55142968647849,2.6218115446886,1.95225585454398,1.99934609222208,1.59422546886294,1.82140538870859,1.04008744059383,0.0280718685853197,0.629134556497909,0.781082435290353,1.30050530600596,1.0296921284154,1.05702294054821,0.681541904834175,0.252019146044807,0.569744223984805,1.67391466449397,3.31408088345279,0.165702736627539,0.80399444146492,0.809867395523855,-0.0294117838912495,0.685708261604032,1.05227228912408,0.962884752392408,0.414549738396495,0.212054426088334,0.687423973729204,1.59963954892455,0.891279579430123,0.185696299620768
