"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.553840669418179,0.276731129383706,0.785288208165374,0.394637552421166,0.35914949298359,0.267485661112111,0.793892098911854,0.786225627706688,0.833488287075851,0.559364627419438,0.46474110935024,0.137867596786157,0.259590388405138,0.121441183019669,0.264614407446459,0.250929363751492,0.158183192614195,0.113583159609896,0.238071162993413,0.128490175253254,0.145632641224983,0.327889002513322,0.0688976467787415,0.281486222138711,0.293887900074364,-0.0120548336723392,0.0612739347167651,0.332573902447067,0.166372509732166,-0.200715102692994,0.433737898007104,-0.187069280829387,0.350688704110197,0.159965347420574,0.11423082147321
"IS-NLE",0.276731129383706,0.91959819176097,1.26313766127465,1.0385201580437,1.11764697032469,1.17075406347456,0.655375918656036,0.551768325092167,0.872084668147001,0.883206210006914,0.698728460022931,0.301089666565314,0.454691298887907,0.27792279727557,0.406810834126939,0.26969668578886,0.351508600336953,-0.206638029105855,0.236160818068604,0.462122260014717,0.743970275692359,0.76133002937613,0.220407308313389,0.814444169513954,0.267696091006251,0.0441968149876766,0.241515372575435,0.29853583197821,0.462267185761808,0.347832340913757,0.144059734393245,0.515493345580094,0.319696634757609,0.207877155214426,0.095158525469182
"IS-PNS",0.785288208165374,1.26313766127465,4.71303270417011,3.33929601556307,3.58515206332573,3.76783395818017,3.28586605929616,3.2268998264735,3.60889708189046,2.15670863168421,2.00269838820559,0.645365651302648,1.24527884849232,0.639901353052132,1.0403870802598,0.595453664759671,1.04246825063427,-0.617511440175191,0.549644179920802,0.710046564168291,2.2482820394153,2.1867488320665,0.500560504393916,1.75984700699741,0.978233666947353,0.0866515066264668,0.682272365188321,1.12332395997739,1.60847312185444,0.527299521143626,1.22386738042937,0.754182810189117,1.11155439008334,0.706454596468233,0.457997970472026
"PM-ZS",0.394637552421166,1.0385201580437,3.33929601556307,3.87102763122626,2.76711970768396,2.97050366934366,2.70063772433267,3.3014242852204,2.72740199625234,2.16035654325151,1.5062499936372,0.714378901447621,1.14251535921581,0.500602733553917,0.789717487300054,0.277352354345623,0.700020231320147,-0.39031696772334,0.82057493858516,0.486501868014844,1.74064521152528,2.13584161029159,0.469737929531036,1.70307161468232,0.660366655778435,0.109437529367238,0.773739816406773,0.766770617553268,1.29972918348935,0.85634566116878,0.937688632633265,0.637104179531473,0.689260637308051,0.36018709928019,0.426424025533175
"PM-ZI",0.35914949298359,1.11764697032469,3.58515206332573,2.76711970768396,3.52952088062441,3.35598469964249,2.30484837078632,2.30081577309695,3.06674853224605,1.74563117980806,1.34544552944311,0.516866943592696,1.07639384372791,0.680811943039098,0.78908540698624,0.388888007792975,0.875494698838626,-0.444152187311183,0.309889841517749,0.681496776415945,1.60588333434714,1.59342062497087,0.490207508327208,1.72011365286377,0.616326698535756,0.186305856372978,0.650101450652055,0.537704336099553,1.27728148900462,0.775949922056327,0.634276905732362,0.957036701717628,0.605063972208382,0.398556952949476,0.397473415599678
"PM-MT",0.267485661112111,1.17075406347456,3.76783395818017,2.97050366934366,3.35598469964249,3.86423021614038,2.23607560400404,2.31234144288334,2.77311728344446,1.9921689610757,1.4957524336486,0.569771001613724,1.02200233222513,0.548839154511716,0.872460516890437,0.391661199853537,0.925713361354938,-0.696092272193426,0.311327895519181,0.561472939495307,2.08964955387608,1.7698237197111,0.608497773960531,1.74133769105666,0.799238440066486,0.107172703366465,0.623343207147405,0.49796851344864,1.34703129505426,0.597689325980961,0.993155089851827,0.747048245009647,0.72689495492319,0.3876951518244,0.351245823864475
"NLE-NON",0.793892098911854,0.655375918656036,3.28586605929616,2.70063772433267,2.30484837078632,2.23607560400404,4.02848652878987,3.21120789488613,3.00758694672771,0.564072364202828,1.42181804696957,0.404823344260431,0.904764573826826,0.456681415831448,0.692972703812124,0.336422277406415,0.470838664467615,-0.282783284253817,0.566595102487368,0.195675794496432,1.14704330317989,1.62446105254466,0.311737026037275,1.21038068889245,0.878697523426501,0.0805654733322592,0.594367286379228,1.35541139839771,0.974461130221739,-0.0361427575743317,1.50483721684084,-0.166118973161465,0.709689434984694,0.558605705312405,0.51168935230163
"NLE-ZS",0.786225627706688,0.551768325092167,3.2268998264735,3.3014242852204,2.30081577309695,2.31234144288334,3.21120789488613,3.81906923431757,3.09833047673139,1.91287628616339,1.43148785623109,0.568438977822802,1.03704057007945,0.415908108891353,0.67770737553859,0.304576515676872,0.539705156719066,-0.183564222396398,0.694857476589201,0.206504807961498,1.32935806136705,1.75581071903772,0.346602640011161,1.34495746491734,0.7574568079894,0.0676901331601266,0.611931428894725,0.931908235965628,1.01527123501825,0.302799135878354,1.22917562712813,0.0515132058406493,0.803174919125919,0.416719636846176,0.437033741356781
"NLE-ZI",0.833488287075851,0.872084668147001,3.60889708189046,2.72740199625234,3.06674853224605,2.77311728344446,3.00758694672771,3.09833047673139,3.53514878088056,1.80305392584647,1.58617180515418,0.537388663614891,1.17241915096437,0.682455904410173,0.905690145782541,0.535913614017013,0.840441646988648,-0.138802442377685,0.564348725026961,0.516634076384035,1.32044977926111,1.61325172860439,0.467150215080717,1.55845547829199,0.79096696701901,0.174525399379237,0.629114281281636,0.87782239488564,1.18509587917759,0.279312957377352,1.12753769842456,0.417944453775608,0.887450822864849,0.490137279392304,0.465903848466478
"NON-BR",0.559364627419438,0.883206210006914,2.15670863168421,2.16035654325151,1.74563117980806,1.9921689610757,0.564072364202828,1.91287628616339,1.80305392584647,4.09737062151735,1.18750638660037,0.996653010513754,1.20938436298245,0.630341428120503,0.945439645694262,0.656308546403249,0.749502441734906,0.0722468620840645,0.409001680616128,0.664871826774969,1.72756963174663,1.94540520315042,0.427882208700106,1.75471445630558,0.326279896925203,0.15609186636516,0.657269211009826,0.111854041754948,0.858036040706211,0.941689232558389,0.0506768649817518,0.892225907580888,0.945140743508566,0.144172012721993,0.182313863338882
