"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.556652012791036,0.243644560836213,0.759190281717349,0.431471207904093,0.157633601465791,0.20966896970839,0.70324808443161,0.597026858715782,0.538554114133384,0.33205237555612,0.411264809009668,0.0617620644318894,0.348004684500648,0.274320889552822,0.312658675058512,0.289918168203359,0.409250122910945,0.26627616032072,0.301560532978366,0.216866708666277,0.594869505221078,0.913292855530496,0.042469579717966,0.543374612497983,0.211003812730947,0.0472684866967484,0.225010521265758,0.209069447350494,0.381788342189172,0.0127933514223951,0.633360082619484,-0.00205729554556873,0.363987207962523,0.319425760390358,0.12621275530052
"IS-NLE",0.243644560836213,0.984692698235282,1.31970132263462,1.23558948556183,1.0481415081823,0.924434290227242,0.424302598438614,0.404005261839223,0.614751571656619,0.528054427519725,0.862830583234544,0.2886709473771,0.367258180992698,0.0265896015872391,0.361293066845214,0.077391889770199,0.419149788237897,-0.0575804989370702,0.415866973126699,0.513455294842209,0.306490586315985,0.521135679967035,-0.0981854627022018,0.118985849944358,0.519220418409842,0.1053843178354,0.338334579929203,0.254453185865464,0.532470273779607,0.0787575067181913,0.163837645666588,0.557751892712482,0.149565283015191,0.61524240213612,0.100996636227943
"IS-PNS",0.759190281717349,1.31970132263462,4.78526284466849,4.38352717958364,4.13706962514583,4.14260878926775,3.75518631151913,3.595618753931,3.87339903409833,1.51703625195889,2.09476190726046,0.512948554910485,1.26925445354932,0.462434707083844,1.4719841179546,0.49200107464161,1.71654251604364,0.667937620507782,1.02644857219175,1.2308026645132,2.36780810695388,2.70242871336343,0.133847897344448,1.84131282228018,1.58381663975676,0.354769160609861,1.47733406104807,0.963260295989847,1.59532243237643,-0.00659260961790088,1.35348581457211,1.30811356053198,0.682402500526847,1.58037532141605,0.123153485471969
"PM-ZS",0.431471207904093,1.23558948556183,4.38352717958364,5.63772411757726,4.40594464537226,4.29014322553004,3.94827908165728,4.30167734469112,3.878972239518,1.76790414095775,1.82395586275258,0.734993430161964,1.45778473334543,0.423521140121823,1.4946037728348,0.447877829958441,1.71277483251911,0.559053127959134,1.24455234968201,1.34428343968608,2.59643932626167,2.87018991341228,-0.00764088900475193,2.44836977995177,1.60408786785871,0.289321352344564,1.52483312057443,0.873383220022977,1.61995131818239,0.238004745837079,1.17097808242436,1.34401795103175,0.694015952709543,1.51793830673403,0.368430398464193
"PM-ZI",0.157633601465791,1.0481415081823,4.13706962514583,4.40594464537226,5.28677216292017,4.64697879126984,3.12087083945831,3.7651852582203,4.55691385402342,1.88705905313356,1.43050209703212,0.551892523164887,0.831088794354319,0.131981148703937,1.42542213818902,0.3268899691574,1.1620835038903,0.190229573348889,0.737206719550697,1.2448264879471,1.45370518641443,1.03127487043237,0.197160593676994,2.20988444971912,1.59047081890891,0.411884973499689,1.33427252223702,0.792743864117956,0.968951583138254,-0.445712576892966,1.11631920773806,1.02032620676057,0.424143840042454,1.43377843586198,0.0347004449261807
"PM-MT",0.20966896970839,0.924434290227242,4.14260878926775,4.29014322553004,4.64697879126984,4.84199667779906,3.20381645767423,3.69216360883092,4.14023181235892,1.6678344125984,1.4803667539512,0.514240668419379,0.833222498895597,0.117344069224397,1.30562466063582,0.258042632141591,1.3243310941613,0.180438940579557,0.619654546449803,1.13727693478255,1.98738452443453,1.52798691015657,0.348912688844079,1.97096767970011,1.47787534578105,0.316458314023703,1.30751889592446,0.560377373724508,1.13464914439062,-0.189762578117163,0.808525274468879,1.36864079609994,0.293260250934747,1.35351496940289,-0.0800251854635705
"NLE-NON",0.70324808443161,0.424302598438614,3.75518631151913,3.94827908165728,3.12087083945831,3.20381645767423,6.36471550799308,4.067170529429,3.60725007023661,-0.556739211585916,1.7638600163799,0.482691912310538,1.43846189510537,0.823079667197185,1.47543642167494,1.10516938301317,2.03996815343011,1.71875225214939,0.808353047219662,0.78997430427095,3.18042683266731,3.60506440643882,0.33402629791086,2.50594836835393,0.9786219280211,0.195747085003604,1.25412914850327,0.723746785525455,1.39480572767769,0.613614782152249,1.22372940461361,0.948963903968611,1.43545368582636,0.971008168666131,0.150922029509775
"NLE-ZS",0.597026858715782,0.404005261839223,3.595618753931,4.30167734469112,3.7651852582203,3.69216360883092,4.067170529429,4.43402528796952,4.09823751626461,1.49920637158892,1.14198361649355,0.479189974111939,1.0561703361151,0.419968186161078,1.35419331314526,0.573884199547695,1.37548011363114,0.605544833019628,0.782063833161856,0.966591415743055,2.37869282910133,2.2562569911559,0.21241794119306,2.717662560109,1.20151276922389,0.286803297028223,1.26082136523494,0.74335482452429,1.06141202264065,-0.0817115097746555,1.48994848531682,0.732946753637066,0.799876546826855,1.18237217488052,0.285513294485745
"NLE-ZI",0.538554114133384,0.614751571656619,3.87339903409833,3.878972239518,4.55691385402342,4.14023181235892,3.60725007023661,4.09823751626461,4.76857188662758,1.82836730863328,1.32286172228918,0.521113176169736,0.847685360982532,0.200458377794613,1.40617854793025,0.507962673339869,1.33084254904074,0.615616572064566,0.89522037471812,1.19331979534815,1.88151522405908,1.64310398146802,0.288792255892289,2.50734177557694,1.4467730058446,0.410534234562761,1.31139844638189,0.808594163159902,0.995324627568175,-0.39839460968027,1.73730509668214,0.676860741214671,0.775338300597736,1.3033400488857,0.0584437093483903
"NON-BR",0.33205237555612,0.528054427519725,1.51703625195889,1.76790414095775,1.88705905313356,1.6678344125984,-0.556739211585916,1.49920637158892,1.82836730863328,4.02571144450094,0.368230820983923,0.487344748006002,0.382708075320878,-0.0253125324931053,0.591809170052777,-0.0681915716748086,0.300352692034509,-0.221230593690018,0.377817255539645,0.960583491578304,0.291803069170388,0.718820578554744,-0.122384589157943,0.959329036020382,0.962620503622415,0.30655187769481,0.622276427857256,0.545498477253248,0.592880237359906,-0.373884686640844,0.0852913582146623,0.513827914489161,-0.107790331495478,0.861994912913036,0.284106043999318
