"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.187924971517065,0.0869578927975498,0.507949033582509,0.261744180560894,0.278230563843322,0.325984290915054,0.335092664740381,0.406635053305771,0.449951296418238,0.289846253094239,0.230223766778928,0.035960869913704,0.0380414806818122,0.0166607641247523,0.10834050096771,0.0267472444156174,0.0826999300936641,-0.140249775044735,0.0772209898669617,0.0180595839254408,0.23556596708386,0.090759858267106,0.0226717416241768,0.27670364936008,0.0203394497076041,0.0154749415166261,0.0455431208889035,0.133806102080727,0.0836646578055086,0.0863596397008959,0.139002866142295,0.106532052338806,0.0695590722250821,0.0290170850794283,0.0604457254036799
"IS-NLE",0.0869578927975498,0.294192757825233,0.305161737814891,0.224851285011103,0.259757339357985,0.290050797867411,0.207418878375571,0.113999561522925,0.205198113341028,0.0657766588779164,0.179420804123733,0.0900128339281244,0.0591151946857841,-0.0288581290299996,0.122113468946356,-0.019141500756551,0.12662612166579,-0.0615895861020373,0.0231197669889231,-0.024426229854452,0.14451418184564,0.040983956174252,0.054318648643752,0.17938568531676,0.16169848538797,0.00388898965186139,0.151663047470816,0.0132826327561072,0.113751218653364,0.0565567664922582,-0.112027850847758,0.178265734489924,0.124981675063172,0.063949186756643,-0.0684285207417399
"IS-PNS",0.507949033582509,0.305161737814891,2.67826874589635,1.66918538410405,1.43294170226638,1.87547484512094,1.95637689343431,1.87372369426349,1.78899022354434,1.14048402013965,1.11474387926885,0.285980175898569,0.472645723157894,0.392325727798741,1.00046171680647,0.465138467390124,0.616642470920606,-0.060295966140876,0.345062491629727,-0.000253195781074323,1.31535877551083,1.09206137807308,0.224606286594766,0.733424136578696,0.615470016928111,0.14989497727569,0.520153667352765,0.661475532835155,0.663055775380809,0.524008898167026,0.352242075033162,0.655217575185707,0.666242071378828,0.380960524842584,0.302746564160197
"PM-ZS",0.261744180560894,0.224851285011103,1.66918538410405,1.66650419671158,1.19265577400727,1.26956374967858,1.5451432391272,1.58542056378432,1.24218623239066,0.777776895401614,0.530724318949713,0.21315162682199,0.278117939406252,0.319200986397552,0.898088702881345,0.455783447764509,0.522025051838625,0.137501741164816,0.190129610818581,0.0528314223292973,1.04988749402721,0.764382096997798,0.159041909923217,0.927179049841393,0.540009423107087,0.0732900736652604,0.44121197819323,0.428126216976504,0.417229083504833,0.314865133222855,0.383803004488544,0.408715062946427,0.796275647692761,0.439788500361307,0.197117539121526
"PM-ZI",0.278230563843322,0.259757339357985,1.43294170226638,1.19265577400727,1.65384529105583,1.37368838745425,1.26884877431688,1.22657881016109,1.71074197530102,0.67370503219225,0.579075082112963,0.222694463292768,0.285630793156246,0.273123192224554,0.808716822079199,0.393420596759788,0.449392313657705,-0.34273649055388,0.481244316130872,0.276419013758113,0.441878030290705,-0.0852408333433896,0.103424004813193,1.15887732439301,0.301954240228097,0.0695662631568474,0.336082515312909,0.390861427180756,0.422502413440885,0.468432293162089,0.270436230879201,0.636360465124372,0.588044851656502,0.262578308596562,0.162043939470132
"PM-MT",0.325984290915054,0.290050797867411,1.87547484512094,1.26956374967858,1.37368838745425,1.78079845289542,1.49485338948257,1.37321474920076,1.55653582156212,0.851165562536968,0.847760122756478,0.321776889038669,0.463545317302637,0.336961582406787,0.797638637239473,0.344520795965147,0.423129643946395,-0.18977467152083,0.321396461384067,0.0231274252456571,0.916394724465336,0.575279342471037,0.163240752922275,0.88333106902114,0.404544720855772,0.129730262840109,0.379816837409152,0.415357429064571,0.50327515312681,0.512761066470139,0.196552470912282,0.700433106952335,0.584442162100239,0.285642800434069,0.166734235607728
"NLE-NON",0.335092664740381,0.207418878375571,1.95637689343431,1.5451432391272,1.26884877431688,1.49485338948257,2.6542015290539,1.85224692067454,1.62121436664255,0.276495684630834,0.418763127410792,0.247591149795322,0.332593154549841,0.240509060399408,1.00512830112283,0.486846791689064,0.60776956212486,0.244883097192472,0.158092210401877,0.0944023386192314,1.09309174303211,1.07355564034968,0.173321785275693,0.849737276582407,0.698189622577215,0.1536981376043,0.550710112894222,0.516715293223778,0.694873317480683,0.0280567786162296,0.571710914058371,0.0832420081656631,0.843473980766026,0.300806540598789,0.194781045550052
"NLE-ZS",0.406635053305771,0.113999561522925,1.87372369426349,1.58542056378432,1.22657881016109,1.37321474920076,1.85224692067454,1.95834698003997,1.64384824008966,0.951236692916464,0.553217128303057,0.197540254326615,0.230199597789448,0.251141269625185,0.880614712390088,0.437681644812084,0.44158266187759,-0.0948333878868219,0.145572563061508,0.0863026689423404,1.10684644337037,0.771267448743825,0.138475158506123,1.1013206579501,0.487077278187462,0.0983354687136482,0.394660992302101,0.610560580698456,0.458565214762757,0.302804010458902,0.588427940392991,0.338228606902865,0.76096508010891,0.342428133136511,0.225987365381103
"NLE-ZI",0.449951296418238,0.205198113341028,1.78899022354434,1.24218623239066,1.71074197530102,1.55653582156212,1.62121436664255,1.64384824008966,2.13687317169151,0.896338099932493,0.739787432981584,0.233223507973911,0.293322401817631,0.219885178288759,0.817535976238865,0.37666185472957,0.437634892345018,-0.467246392620378,0.532383473474437,0.28315894995829,0.641322409247575,0.0944088746102051,0.101420636656135,1.3343511775083,0.272082201227627,0.0725731911530136,0.303767360893083,0.579165748201113,0.472984297774929,0.520891545068704,0.460226546287107,0.658968924812753,0.581121756201452,0.207949656369064,0.234698732279694
"NON-BR",0.289846253094239,0.0657766588779164,1.14048402013965,0.777776895401614,0.67370503219225,0.851165562536968,0.276495684630834,0.951236692916464,0.896338099932493,1.83996544759194,0.664928436337543,0.340827823755076,0.221799469990534,0.0964620646015927,0.437543814287414,0.339772582331685,0.142769884624679,0.0656588898788551,0.177872676304927,-0.0177317742825663,0.715614644119681,0.519135129990318,0.0388755334062263,0.604029615901613,0.121554717558331,-0.0556167691368602,0.0497067064408938,0.381895827067092,0.104859070333174,0.459415769301718,0.117040086341134,0.358540893629851,0.425969498278386,0.167620075963904,0.24918301898142
"NON-PNS",0.230223766778928,0.179420804123733,1.11474387926885,0.530724318949713,0.579075082112963,0.847760122756478,0.418763127410792,0.553217128303057,0.739787432981584,0.664928436337543,0.900583468576295,0.240284828235212,0.352913305132948,0.141716366223913,0.265703831936433,0.131468097809869,0.183155777680428,-0.217148580451471,0.322442332807872,-0.0664652815237998,0.517065755545683,0.242582150287533,0.100908978250632,0.247222366207512,0.0586472461554159,0.0224261866987812,0.0702374705275538,0.215857572872661,0.184429052488081,0.430170144786158,-0.0560144952917188,0.538960412504712,0.0844399570645876,0.10716348449435,0.167503144937388
"BR-PT",0.035960869913704,0.0900128339281244,0.285980175898569,0.21315162682199,0.222694463292768,0.321776889038669,0.247591149795322,0.197540254326615,0.233223507973911,0.340827823755076,0.240284828235212,0.359255005710818,0.216917704780014,-0.128487817057516,0.0749765627356581,-0.00810291956335073,-0.0473547755349208,-0.00394985397072533,0.0651656562870884,-0.00955716210209689,0.178852341840945,0.0526869444536888,0.0247335600763188,0.166778005308006,0.0283984577251029,-0.0362052886317944,0.0352215223398055,0.0670793544205095,0.0242687301329248,0.233035149983431,-0.109070446717263,0.162205515384948,0.112698450326054,-0.000676330413843569,0.0589465718214509
"BR-APET",0.0380414806818122,0.0591151946857841,0.472645723157894,0.278117939406252,0.285630793156246,0.463545317302637,0.332593154549841,0.230199597789448,0.293322401817631,0.221799469990534,0.352913305132948,0.216917704780014,0.38877318272283,0.141085582566314,0.165501660709038,0.0856118978443668,0.0975031305911104,-0.128910390709381,0.123112877789472,-0.0117071490118491,0.338485864761529,0.181643814498412,0.030153159225188,0.103481600477387,0.062971804009309,0.0155118735003605,0.0283096685463666,0.0220332654882328,0.128920015969978,0.346561833470688,-0.0644679072212057,0.31826086218656,0.0106722226644728,0.0639820339735209,0.139600253710247
"PT-APET",0.0166607641247523,-0.0288581290299996,0.392325727798741,0.319200986397552,0.273123192224554,0.336961582406787,0.240509060399408,0.251141269625185,0.219885178288759,0.0964620646015927,0.141716366223913,-0.128487817057516,0.141085582566314,0.582874370702907,0.445161155634706,0.371895931916232,0.247630517199338,0.328283827373573,0.119266885063287,0.00564548168137549,0.181238195036131,0.403783688670772,0.0525823639065611,0.104487552704963,0.0496561702546429,0.15550034058211,0.082450875773165,-0.0416227920124202,0.118448885746234,0.190068679132109,0.100796238580827,0.189359038161852,0.218914598562225,0.081472655667779,0.100668273407047
"PT-BA",0.10834050096771,0.122113468946356,1.00046171680647,0.898088702881345,0.808716822079199,0.797638637239473,1.00512830112283,0.880614712390088,0.817535976238865,0.437543814287414,0.265703831936433,0.0749765627356581,0.165501660709038,0.445161155634706,1.05370599457395,0.683149099729035,0.448842386285372,0.611126236768282,0.203870693764993,0.098634909932542,0.470965144823829,0.678401745113931,0.082437032252955,0.568310287929935,0.511296689677291,0.0836597676845933,0.439368039969659,0.273184675649153,0.347685395347264,0.2855143170228,0.130528654137922,0.348334352536156,0.792621595489736,0.216267737082917,0.141148393524183
"PT-EAM",0.0267472444156174,-0.019141500756551,0.465138467390124,0.455783447764509,0.393420596759788,0.344520795965147,0.486846791689064,0.437681644812084,0.37666185472957,0.339772582331685,0.131468097809869,-0.00810291956335073,0.0856118978443668,0.371895931916232,0.683149099729035,0.674417640304283,0.32074416139497,0.655346339726052,0.133743917537962,0.0433390803498816,0.260282491259937,0.509459880127298,0.0274902683753102,0.251868566966183,0.209218598285051,0.0369047090100063,0.142227978203022,0.106444180568325,0.174583501212648,0.117825699356646,0.0456577245983524,0.107020687529434,0.585106728190182,0.112671276712628,0.120598654488772
