"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",15.0305235372656,20.7804797655967,37.3862993720107,18.9966509644632,17.337491236633,22.7644272235498,10.9629604291194,21.9096856888448,24.7176333677874,17.1950770252908,20.0497903484733,6.52003612557584,18.6192599790895,4.10606125221481,20.0944240738947,7.48564708608106,24.6615035233444,1.0750548024356,8.24012868822438,9.29404124778674,34.3838440090317,34.6165981118686,9.61838678477804,24.7381085101997,17.4281341842427,-0.937326722960627,23.0492772863024,9.29646060067697,23.4691808885101,21.8887013359682,28.975729860156,20.7142597403312,2.56785633408734,9.98725628111156,4.37356556001519
"IS-NLE",20.7804797655967,37.5905997120151,65.9860679847642,37.6138058815945,35.2383289249732,45.0145029298485,18.0059014561918,36.4771463302681,41.9172719749482,32.2397233941438,36.3905104282058,9.55940891633393,30.1138123490785,8.84664425016437,36.1417633341507,13.0608267001014,43.6416581678599,1.74241165670999,16.4300812142583,16.5748866281387,59.1230585714182,60.4481752206126,16.437063454347,40.7962469494253,30.3056954931943,-1.05294517040951,41.2654014693495,17.1509501618347,41.5213156414004,35.8521033980827,49.0333052359527,36.4845576402592,6.60502970080667,17.9603408585629,7.42810945114263
"IS-PNS",37.3862993720107,65.9860679847642,150.92029737659,76.8629731284389,75.1209818456138,98.8380727221656,29.2895259618226,68.9385154293316,81.8258752897612,73.6433196435969,84.8495905194505,14.4405173835947,56.5735482745043,19.5163743484621,72.1767367821205,26.6014021523202,91.9220354903297,4.04988109712704,36.7500318321083,36.0108320167565,125.222929906692,126.503060191495,31.4378211945414,73.3812114316714,56.8482562727627,-4.64254905301575,83.7101414917426,34.0570598135614,87.9202035521157,69.2890461561531,100.480843039387,75.8193089166185,16.0384241172471,35.9877006131143,11.1746233358331
"PM-ZS",18.9966509644632,37.6138058815945,76.8629731284389,47.1795873663225,44.6225518872891,56.0252233627068,16.1389191400458,39.3524682944944,44.8428209231712,45.4789435856324,42.1410346887274,8.97685515653743,32.9427920228073,12.6137544431385,41.8753975952429,16.3529285748015,51.0475430721871,2.42385345403939,19.2581396517182,20.2232823128755,68.2801225739315,70.2103569740048,15.8576929266582,47.4038192658237,32.7901189419286,-0.613761482939718,46.2461685468819,21.2017223051973,48.3631396256735,38.6202009686582,54.3140195679383,40.1540525998711,11.2766470892674,19.7338188270204,9.48597695147748
"PM-ZI",17.337491236633,35.2383289249732,75.1209818456138,44.6225518872891,45.3751974498317,55.2066363227504,14.3496717919977,36.9525438454029,44.8653346965806,43.7189078878878,41.8119000180674,9.12885325984724,31.8903667466999,11.2751558198692,39.2465834786797,14.63475430064,47.318074821621,2.40965604624268,19.9193102747975,18.55127614234,63.7288837277808,66.840345399808,15.51919101212,45.2398871216525,30.9624966682223,-0.772485353745679,44.4616502700042,18.8823510544353,45.0320772620406,36.7015007212913,50.7556577850318,39.3378365099034,10.609701634596,18.8033204861515,9.49573246044426
"PM-MT",22.7644272235498,45.0145029298485,98.8380727221656,56.0252233627068,55.2066363227504,73.4186142891842,18.7607230942501,45.866481280288,54.7976242549275,56.4818052429956,55.5863425231355,9.96684621276998,39.699061851731,14.2885697564481,49.9379550124861,18.533271287964,60.7779581398993,1.8976713743418,25.4630409489478,26.9045063042454,82.4701265758714,85.7693937667536,18.7808934587148,54.6601631309262,39.4156865459849,-1.69924544586643,56.2400397808519,24.6308576514853,58.6338867576747,43.6656556459807,65.9127993937199,50.4755663713851,13.6830041953714,25.6787916924669,9.21560071572847
"NLE-NON",10.9629604291194,18.0059014561918,29.2895259618226,16.1389191400458,14.3496717919977,18.7607230942501,18.7683385379997,18.707476573069,22.0147680227408,10.1883626391754,15.8199123612555,5.84878660897769,15.8724355808366,3.13899839568288,16.637476643015,7.37024933265943,19.6112289541254,1.11858512552204,7.89030946929255,7.06593359448426,25.4280274719433,29.0427564905003,9.36736460510019,19.1898564662806,14.6240846044753,-0.597315867756818,18.8958209487399,9.19469697339398,17.8836658056711,15.5078480820332,23.7733897843851,18.2880971491251,3.94783334514951,11.354167232429,2.6404535442746
"NLE-ZS",21.9096856888448,36.4771463302681,68.9385154293316,39.3524682944944,36.9525438454029,45.866481280288,18.707476573069,43.4566205550655,47.5008436082898,43.9194250807111,39.362000476761,10.853906758847,30.5864260847881,9.58361209691203,38.3025552945189,13.9544807013462,45.2080689027487,2.73650582432775,15.6230415316473,16.6546777848765,62.1031006844265,65.1779213343868,18.0436834540624,44.5761786152479,32.115137370456,-1.10119417893784,43.1135661554853,19.586190719599,42.4851003187841,37.5035163927716,45.0894067659952,36.8598001897487,7.2476166990379,19.0486351277656,9.98415290207215
"NLE-ZI",24.7176333677874,41.9172719749482,81.8258752897612,44.8428209231712,44.8653346965806,54.7976242549275,22.0147680227408,47.5008436082898,56.9261331154689,46.9887715617672,47.5742940880653,12.1141339069405,36.5571535738062,11.1077037737053,44.7203857311079,16.4130824305808,52.1990870429994,3.59644250893253,22.0213551004616,18.9590616125199,71.6827223500728,75.1309105354014,20.6852656539372,50.7424844307883,37.1295501127341,-1.54708494403627,50.5161708294659,20.8829895789216,48.9587793550012,43.5486497449518,55.4729263311906,44.6250427847342,8.71070444311492,21.8037365600163,11.2843311055429
"NON-BR",17.1950770252908,32.2397233941438,73.6433196435969,45.4789435856324,43.7189078878878,56.4818052429956,10.1883626391754,43.9194250807111,46.9887715617672,98.4239921349907,40.7333138335145,4.25197417585348,15.6218755209321,9.21227218314283,38.8075574324795,15.8175013606375,47.3371230922803,0.621042029387839,16.0161741036047,20.0259877822333,65.1856720229479,70.5484886046568,14.2587070822596,49.0411802285455,31.8018521032888,3.42469921079279,44.9168719891012,19.9242896072061,45.9855650939837,31.9272870346738,15.2266068052958,31.7919278158446,10.9648257571534,17.0749757169033,11.1068141085908
"NON-PNS",20.0497903484733,36.3905104282058,84.8495905194505,42.1410346887274,41.8119000180674,55.5863425231355,15.8199123612555,39.362000476761,47.5742940880653,40.7333138335145,52.8712736206078,6.97090320924744,32.0443630163207,12.2397375964573,42.497532988554,14.7552299327657,52.0226984468389,3.90647131808891,22.2115858803441,20.3682879225693,69.3189872768747,70.769073060856,17.8854315576098,37.3402382283953,33.3604626964628,-2.98027853855647,48.0340448689774,18.3603941026706,48.8596083804201,38.5581189823138,59.4266740377598,43.1399816083274,9.55414204380975,21.1990793068152,6.76741039416692
"BR-PT",6.52003612557584,9.55940891633393,14.4405173835947,8.97685515653743,9.12885325984724,9.96684621276998,5.84878660897769,10.853906758847,12.1141339069405,4.25197417585348,6.97090320924744,9.91710732043117,12.6275017032957,0.154584771724448,7.72204218350443,-0.0487728912072976,5.71223776424964,-0.549117689475219,3.51227943768884,2.815510124369,12.7019649253239,15.4529803500884,3.89428120970068,14.09104266249,9.03591955216132,-0.0558379673189497,10.4574653273656,5.16688097859597,6.36290211413062,10.4127908682288,11.1316812833273,10.1996238238876,-0.0559664538893356,4.45984770699992,3.24679515833467
